,shannon,Dataset
F-001C1A,3.354658734872588,asd_son
A19,3.456579493425933,autism_kb
A02,2.8682648654084333,autism_kb
F-061-C2U,2.975570635780475,asd_son
F-029C1A,2.151046639370895,asd_son
A14,2.7563523656611877,autism_kb
F-044-C2U,2.996222262066074,asd_son
N15,2.65185382828365,autism_kb
F-037-C1A,3.543163045818326,asd_son
F-050-C1A,3.480188558162876,asd_son
F-004C2U,2.2404403156357575,asd_son
F-023C2U,3.5558097346936743,asd_son
A09,2.7238661026619715,autism_kb
F-021C2U,3.290832685632518,asd_son
F-001C2U,2.7421445319988567,asd_son
N12,0.26662307132214935,autism_kb
N11,3.899938639428351,autism_kb
F-027C1A,1.5545243522183108,asd_son
F-035-C1A,2.706427509650893,asd_son
F-045-C1A,1.6616666966035207,asd_son
N14,2.9037389368560835,autism_kb
F-007C2U,2.3321846371131634,asd_son
F-025C1A,2.952345963145186,asd_son
A15,0.8246103406461716,autism_kb
F066-C2U,2.5359447919486207,asd_son
F-049-C1U,3.667019950502284,asd_son
F-048-C1A,3.214435114549059,asd_son
F-005C1A,1.8952238667807007,asd_son
A18,1.7581714537255635,autism_kb
F-058-C1A,3.043792448591275,asd_son
F-051-C2U,2.70444558397698,asd_son
F064-C1A,2.1738472360328647,asd_son
A12,3.9286715080095553,autism_kb
N04,3.80896086794958,autism_kb
F066-C1A,3.431403381894324,asd_son
F-037-C2U,2.727674869656496,asd_son
F-015C1A,2.9897401641932615,asd_son
F-041-C2U,2.6624471867457298,asd_son
F-019C1A,3.20950967863204,asd_son
F-018C2U,1.1983794385130713,asd_son
F-051-C1A,3.0135179756724177,asd_son
F-031C1U,1.7725358420268704,asd_son
F063-C1U,3.2000647878464257,asd_son
F-036-C1A,2.0367235558472414,asd_son
F-014C2U,1.3297478919922683,asd_son
F-058-C2U,3.5276219853165345,asd_son
N08,2.243075733573856,autism_kb
N16,1.3804157322175874,autism_kb
F-042-C1A,4.009492065200174,asd_son
F-050-C2U,3.386046044361125,asd_son
F-046-C1A,3.556427471512058,asd_son
F-061-C1A,3.442583466255636,asd_son
A01,3.3834468604435046,autism_kb
F-052-C1U,2.2973366865934253,asd_son
F-012C1A,2.5300608191388974,asd_son
F-026C1A,3.0113450205877235,asd_son
F-054-C1A,2.7253338393516318,asd_son
F-024C1A,3.2965813559689567,asd_son
F-042-C2U,2.9932460865504886,asd_son
F-003C2U,2.603257997648961,asd_son
N09,3.044856961704308,autism_kb
F-006C1A,3.7470469592898903,asd_son
A08,0.7143099027279569,autism_kb
N02,2.679846670303502,autism_kb
F-016C2U,2.918522639052435,asd_son
F-041-C1A,2.9793036607953773,asd_son
F-017C2U,0.821808637757014,asd_son
F-002C1A,2.5515234130403446,asd_son
F-009C2U,3.254806997605555,asd_son
F-028C1A,1.1321013320606872,asd_son
N05,3.3559649847471635,autism_kb
F-008C2U,3.1866582606430254,asd_son
N03,0.34683563190824435,autism_kb
A16,1.8030540486632096,autism_kb
F-022C1A,2.36797890873914,asd_son
F-034C1A,3.166622668005594,asd_son
N07,3.748136769819752,autism_kb
F-004C1A,1.9415764788085796,asd_son
F-056-C1A,2.8095688349137413,asd_son
A10,3.873921116976292,autism_kb
A04,2.631347324093503,autism_kb
N01,2.828213302266306,autism_kb
F-015C2U,2.7998652622107407,asd_son
F-060-C1A,3.232276398827369,asd_son
N18,2.597121925534583,autism_kb
A05,2.785278400155729,autism_kb
F065-C1A,3.2127552926059564,asd_son
F-062-C1A,3.6839336164217347,asd_son
A13,0.7399755287765796,autism_kb
F-046-C2U,1.946787965298809,asd_son
N19,3.499583942659521,autism_kb
F-008C1A,3.8029764651773936,asd_son
F-013C1U,3.4547414824343887,asd_son
F-039-C1A,2.554267802893574,asd_son
F-033C1A,2.8872741620635596,asd_son
F-011C1A,1.2100456527454762,asd_son
A11,3.2634633594561735,autism_kb
N13,0.14663903990785723,autism_kb
A07,0.8392595331589738,autism_kb
F-030C2U,2.4858199388543167,asd_son
F-002C2U,3.844009136087985,asd_son
F-062-C2U,1.4050893108669613,asd_son
F-055-C1U,2.029539868823358,asd_son
F-025C2U,2.4971353366104836,asd_son
F-053-C1U,3.132782647538496,asd_son
F-040-C1A,3.597408159341653,asd_son
F-039-C2U,2.89762048888103,asd_son
F-024C2U,2.806157650568088,asd_son
F-023C1A,1.5282811961644212,asd_son
F-057-C1A,1.9715816209968036,asd_son
F-009C1A,2.11605466528951,asd_son
F-059-C1A,1.7667324327437428,asd_son
F-043-C1A,2.643021597015208,asd_son
A06,1.9977358688457285,autism_kb
N20,3.5391848436226807,autism_kb
F-044-C1A,2.0058424717509036,asd_son
F-016C1A,2.6378410045261393,asd_son
F-017C1A,0.9206113170236665,asd_son
F-038-C1A,1.882399372876551,asd_son
F-020C1A,2.4073424749567875,asd_son
F-032C1A,1.7845157756566254,asd_son
F-020C2U,2.099843465503401,asd_son
F-014C1A,2.5894501937769068,asd_son
F-030C1A,2.7973861107593696,asd_son
N10,3.0441884658523866,autism_kb
F-003C1A,2.4151783327174368,asd_son
F-010C1A,1.8522045118531956,asd_son
F-021C1A,2.4947140508806456,asd_son
N06,3.4626937918863465,autism_kb
F-028C2U,2.2090908097258635,asd_son
F-057-C2U,3.440333840556647,asd_son
F-007C1A,3.1635931892474027,asd_son
A17,3.8269756072228787,autism_kb
F-047-C1A,3.662345621455739,asd_son
F-019C2U,2.949751394696387,asd_son
F-027C2U,2.2511397314037858,asd_son
F-022C2U,3.112504027489745,asd_son
N17,2.5986896309885577,autism_kb
F-054-C2U,2.4466371483018317,asd_son
F-018C1A,1.6378323857714407,asd_son
F-029C2U,2.0641503222829907,asd_son
