,shannon,Dataset
F-001C1A,3.0830399910948483,asd_son
A19,3.4707923488227665,autism_kb
A02,3.5261084382264087,autism_kb
F-061-C2U,2.9804365603755723,asd_son
F-029C1A,2.485029108893558,asd_son
A14,3.743120427401814,autism_kb
F-044-C2U,3.827793204305697,asd_son
N15,2.9712017286521832,autism_kb
F-037-C1A,4.087632574613672,asd_son
F-050-C1A,3.8082013871727036,asd_son
F-004C2U,2.756399889563148,asd_son
F-023C2U,3.4030461398596508,asd_son
A09,3.099420034290622,autism_kb
F-021C2U,3.475144057070271,asd_son
F-001C2U,3.231058224698754,asd_son
N12,1.4240427456924611,autism_kb
N11,4.014131523375914,autism_kb
F-027C1A,1.8092895277487024,asd_son
F-035-C1A,3.18943110731082,asd_son
F-045-C1A,1.9510854833067095,asd_son
N14,3.735963607886169,autism_kb
F-007C2U,2.5720697416358593,asd_son
F-025C1A,3.5270138578121175,asd_son
A15,2.436572859696451,autism_kb
F066-C2U,2.968328582132356,asd_son
F-049-C1U,3.8230154657846476,asd_son
F-048-C1A,3.349947491290759,asd_son
F-005C1A,2.264177698322768,asd_son
A18,3.465111084547326,autism_kb
F-058-C1A,3.607217371079674,asd_son
F-051-C2U,3.094163579426561,asd_son
F064-C1A,2.496220987775922,asd_son
A12,4.134876821387848,autism_kb
N04,3.6945380926489015,autism_kb
F066-C1A,3.5081685673896628,asd_son
F-037-C2U,3.293623848961866,asd_son
F-015C1A,2.5413632737967755,asd_son
F-041-C2U,2.9958898724481524,asd_son
F-019C1A,3.7411863891680364,asd_son
F-018C2U,1.1748217424678173,asd_son
F-051-C1A,3.714913397290049,asd_son
F-031C1U,2.0053063609646102,asd_son
F063-C1U,3.6573172814311765,asd_son
F-036-C1A,2.231595965053659,asd_son
F-014C2U,1.5060574550282055,asd_son
F-058-C2U,3.6794285755313503,asd_son
N08,3.1477616445277588,autism_kb
N16,3.1212873896194266,autism_kb
F-042-C1A,4.075992417519585,asd_son
F-050-C2U,3.155471677065314,asd_son
F-046-C1A,3.7030377282076956,asd_son
F-061-C1A,4.036108783402658,asd_son
A01,3.77302794907898,autism_kb
F-052-C1U,2.7340186259373054,asd_son
F-012C1A,3.3350862727894293,asd_son
F-026C1A,3.6322007961407605,asd_son
F-054-C1A,3.0697872653980016,asd_son
F-024C1A,2.6921609233827257,asd_son
F-042-C2U,3.4454558822342247,asd_son
F-003C2U,2.668743812472371,asd_son
N09,2.8121969457370786,autism_kb
F-006C1A,3.5485518740444673,asd_son
A08,2.5210263269203845,autism_kb
N02,3.759514382688798,autism_kb
F-016C2U,3.0026571591288262,asd_son
