,shannon,Dataset
F-018C1A,5.791345165213101,asd_son
F-017C1A,5.45499431653378,asd_son
F-025C2U,5.959833907690158,asd_son
F-057-C2U,6.119501815579751,asd_son
F-057-C1A,5.892588368558248,asd_son
F-047-C1A,6.07954948087694,asd_son
F-024C1A,5.961223217413107,asd_son
N13,6.0353127574989776,autism_kb
F-004C1A,5.679227194470439,asd_son
F-026C1A,6.0535596717476,asd_son
A09,6.072900744296567,autism_kb
F065-C1A,6.0826096005330905,asd_son
F-002C1A,6.092734557349889,asd_son
F-038-C1A,5.843670399086941,asd_son
F-030C1A,5.958822045446435,asd_son
F-031C1U,5.605952951128373,asd_son
A02,6.090395016197556,autism_kb
N02,6.125000742717228,autism_kb
F-043-C1A,6.032293628541041,asd_son
N06,6.115499246019064,autism_kb
F-054-C1A,6.004404597218746,asd_son
F-019C1A,6.1171789615944805,asd_son
F-011C1A,5.357191300112971,asd_son
A19,6.025751003028265,autism_kb
F-003C2U,5.920254439034533,asd_son
F-044-C1A,5.798590511722147,asd_son
F064-C1A,5.811109689612424,asd_son
F-037-C1A,6.120382573928477,asd_son
F-041-C2U,6.092003163473727,asd_son
F-053-C1U,6.067599057997092,asd_son
F-001C2U,5.73605413032935,asd_son
F-017C2U,5.573801885148081,asd_son
F-009C2U,6.108768843077384,asd_son
F-062-C2U,5.541674611817674,asd_son
F-007C2U,5.92316379274117,asd_son
F-005C1A,5.8633651129201025,asd_son
F-015C2U,6.030533165064665,asd_son
F-019C2U,6.0632111168336325,asd_son
A17,6.029423206783608,autism_kb
F-021C2U,6.049635684018461,asd_son
F-059-C1A,5.780522759566369,asd_son
F-027C2U,5.839151315442519,asd_son
F-022C2U,6.032674072273663,asd_son
F-039-C2U,6.066017433292262,asd_son
F-028C1A,5.704744388418783,asd_son
F-062-C1A,6.120813533015389,asd_son
F-016C2U,6.0219543419782955,asd_son
F-022C1A,5.9562313653496695,asd_son
F-037-C2U,6.048750016103706,asd_son
F-023C1A,5.646477088160405,asd_son
F-042-C1A,6.1014577653774555,asd_son
F-008C2U,6.04316605216675,asd_son
A05,5.955595000255855,autism_kb
F-027C1A,5.673034330316342,asd_son
F-029C2U,5.826357203966869,asd_son
F-039-C1A,6.003048033435794,asd_son
F-001C1A,6.028730343703751,asd_son
N19,6.1026547824508635,autism_kb
A10,5.863049417333861,autism_kb
F-014C2U,5.695861660292503,asd_son
F-003C1A,5.705784305947425,asd_son
F-060-C1A,6.105062429503554,asd_son
N14,6.076920085479577,autism_kb
F-023C2U,6.115054400365651,asd_son
F066-C2U,5.779866533248781,asd_son
F-010C1A,6.047678991610354,asd_son
F-015C1A,6.112758998509752,asd_son
F-032C1A,5.6368426050236815,asd_son
F-041-C1A,6.084031941253108,asd_son
A18,6.090725073353023,autism_kb
F-044-C2U,6.136136619272204,asd_son
N04,6.122946505656642,autism_kb
A15,6.106959749536218,autism_kb
F-061-C2U,5.989106998451113,asd_son
F-058-C1A,6.135428741706643,asd_son
F-048-C1A,6.052057493930957,asd_son
F063-C1U,6.0856891744469515,asd_son
F-029C1A,5.7955378913761635,asd_son
A11,6.101043962682871,autism_kb
A14,6.109225163395592,autism_kb
F-054-C2U,6.010044501230772,asd_son
F-004C2U,5.949002239857351,asd_son
N20,6.112296076460385,autism_kb
N16,6.110597988643636,autism_kb
F-045-C1A,5.695486062321719,asd_son
N08,6.114699140159968,autism_kb
F-036-C1A,5.842411595507843,asd_son
F-050-C1A,6.1235048433357075,asd_son
F-007C1A,6.11566765736662,asd_son
F-024C2U,5.862998561318968,asd_son
F-009C1A,6.009200518838819,asd_son
F-021C1A,5.835280757568649,asd_son
F066-C1A,6.1347807523568365,asd_son
N11,6.09009568465603,autism_kb
F-012C1A,6.136782368514711,asd_son
F-025C1A,6.05994791225843,asd_son
F-020C1A,5.983513359235589,asd_son
F-042-C2U,6.086547500385435,asd_son
F-034C1A,5.936041564030732,asd_son
A01,6.062997632479635,autism_kb
N15,6.049675533800655,autism_kb
F-033C1A,6.004690319586592,asd_son
F-035-C1A,5.921862009622527,asd_son
F-050-C2U,6.014114459564773,asd_son
N07,6.052497368468881,autism_kb
F-051-C2U,5.990641439667173,asd_son
F-016C1A,6.1002345596995164,asd_son
N17,6.088928372239287,autism_kb
F-018C2U,5.497521659849445,asd_son
N09,6.069215300634092,autism_kb
F-046-C1A,6.095344051183565,asd_son
F-040-C1A,6.106310653010359,asd_son
F-030C2U,5.870862400389204,asd_son
F-061-C1A,6.104227173900618,asd_son
F-058-C2U,6.125115123414433,asd_son
F-006C1A,6.106958749490086,asd_son
F-020C2U,6.046029459349059,asd_son
F-013C1U,6.0843761654089015,asd_son
F-002C2U,6.104139599575089,asd_son
A06,6.121799230797609,autism_kb
F-014C1A,5.965803557637255,asd_son
F-052-C1U,5.746566927102538,asd_son
N10,6.1015006930922615,autism_kb
F-008C1A,6.1385339288824765,asd_son
F-046-C2U,5.640272747347162,asd_son
A07,6.116636060892658,autism_kb
F-028C2U,5.900159871692743,asd_son
F-051-C1A,6.016774022058768,asd_son
F-055-C1U,5.716042170099709,asd_son
N01,6.078846408578904,autism_kb
A04,6.101795247675808,autism_kb
A12,6.007528377358114,autism_kb
F-056-C1A,6.036382694264931,asd_son
F-049-C1U,6.107920946181829,asd_son
