,shannon,Dataset
F-031C1U,6.2663742663632105,asd_son
F-041-C2U,6.439229389406158,asd_son
F-050-C2U,6.419480245906766,asd_son
F-051-C2U,6.420387558665037,asd_son
N19,6.439474602328911,autism_kb
N04,6.446038600926566,autism_kb
F-013C1U,6.437235228779499,asd_son
F-021C2U,6.432093858047335,asd_son
A15,6.444496868555586,autism_kb
A04,6.4416979298079395,autism_kb
F-022C1A,6.4028626459791225,asd_son
F-035-C1A,6.395743568605484,asd_son
F-007C1A,6.449978146646308,asd_son
F065-C1A,6.442619425383495,asd_son
N14,6.436787304183912,autism_kb
F-047-C1A,6.4414293206949225,asd_son
A01,6.429093287905383,autism_kb
F-042-C1A,6.447647965209258,asd_son
F-028C2U,6.384949778428681,asd_son
A03,6.446782933028825,autism_kb
F-030C1A,6.395367628035972,asd_son
F066-C2U,6.339497798690855,asd_son
F-019C2U,6.439255184876685,asd_son
F-029C1A,6.336827252893261,asd_son
F-058-C1A,6.456850397878097,asd_son
F-021C1A,6.362910797361717,asd_son
F-060-C1A,6.451015644396796,asd_son
N13,6.4134281302236555,autism_kb
A02,6.439514846776141,autism_kb
F-005C1A,6.375016019390991,asd_son
F-057-C2U,6.4545352894448635,asd_son
F-018C2U,6.2223557972972,asd_son
F-009C2U,6.4545615640404606,asd_son
F-042-C2U,6.448304059509865,asd_son
N10,6.439415485246784,autism_kb
A05,6.398018313671843,autism_kb
F-023C2U,6.449003552179866,asd_son
F-020C1A,6.417449209399693,asd_son
N11,6.433002077740254,autism_kb
F-054-C1A,6.423423056150546,asd_son
N12,6.415335694153841,autism_kb
N02,6.447164519757195,autism_kb
F064-C1A,6.355283931066472,asd_son
F-043-C1A,6.43318505937351,asd_son
F-016C1A,6.415961677199906,asd_son
F-016C2U,6.41832199827417,asd_son
N18,6.441874820875482,autism_kb
F-017C2U,6.258447575923591,asd_son
A06,6.447101866196382,autism_kb
F-046-C1A,6.431995588154,asd_son
F-046-C2U,6.28390469391549,asd_son
F-025C1A,6.44071569015446,asd_son
F-038-C1A,6.36772219838849,asd_son
F-012C1A,6.3513009581367506,asd_son
F-009C1A,6.426588796027255,asd_son
F063-C1U,6.448087408868854,asd_son
N17,6.433801919940718,autism_kb
F-049-C1U,6.428412633115496,asd_son
F-001C1A,6.370502573163529,asd_son
F-054-C2U,6.426679754503418,asd_son
A10,6.356294976722038,autism_kb
F-020C2U,6.2742054253270645,asd_son
F-052-C1U,6.327339037167909,asd_son
F-051-C1A,6.423732530824146,asd_son
F-024C2U,6.371205025192344,asd_son
F-002C1A,6.23487487148599,asd_son
A12,6.413583391959609,autism_kb
F-030C2U,6.376908593446348,asd_son
F-061-C1A,6.449945479544353,asd_son
A08,6.446656269265499,autism_kb
F-040-C1A,6.4337638823871055,asd_son
F-022C2U,6.429374602613491,asd_son
N08,6.443765600206027,autism_kb
F-034C1A,6.377738876698356,asd_son
F-055-C1U,6.312231489610096,asd_son
F-002C2U,6.423011471951719,asd_son
F-041-C1A,6.447277531438916,asd_son
N09,6.429648453082835,autism_kb
F-023C1A,6.289665494769661,asd_son
F-015C1A,6.418196553239006,asd_son
N16,6.4431417693157105,autism_kb
N06,6.443963510859842,autism_kb
A19,6.417089231982283,autism_kb
F-027C1A,6.2989480578910895,asd_son
F-028C1A,6.313814433679801,asd_son
F-007C2U,6.390626762832062,asd_son
F-032C1A,6.281260060070622,asd_son
F-003C2U,6.385047944438529,asd_son
F-056-C1A,6.432366589121282,asd_son
F-059-C1A,6.342763631792074,asd_son
F-044-C1A,6.348001540183204,asd_son
F-053-C1U,6.436367851701765,asd_son
F-025C2U,6.408826356558635,asd_son
F-004C2U,6.4064261719258795,asd_son
A13,6.4245629570561205,autism_kb
A18,6.439959343094924,autism_kb
F-008C1A,6.45453601645451,asd_son
F-014C1A,6.410391189966066,asd_son
F-058-C2U,6.4473985214280765,asd_son
F-015C2U,6.433163040296753,asd_son
F-011C1A,6.155423174445773,asd_son
F-010C1A,6.439016590225771,asd_son
A11,6.4423374532743045,autism_kb
F-062-C1A,6.442992060529402,asd_son
A17,6.4241905233834755,autism_kb
F-033C1A,6.424483676657343,asd_son
F-027C2U,6.365286424159744,asd_son
F-003C1A,6.304952215802841,asd_son
F-045-C1A,6.308561560817362,asd_son
A16,6.447571929579559,autism_kb
A07,6.445220465224349,autism_kb
A09,6.430915464919739,autism_kb
F-017C1A,6.203140444310225,asd_son
A14,6.443366418541557,autism_kb
N15,6.423032753685841,autism_kb
N07,6.439275627349025,autism_kb
F-019C1A,6.425694751016934,asd_son
F-039-C2U,6.432481018478513,asd_son
F-006C1A,6.450740347001812,asd_son
F066-C1A,6.444932241381206,asd_son
F-039-C1A,6.406449937893222,asd_son
F-014C2U,6.308820674507208,asd_son
F-044-C2U,6.433597056269253,asd_son
N01,6.4307923618141185,autism_kb
N20,6.443050662194118,autism_kb
F-048-C1A,6.430270075542293,asd_son
F-037-C1A,6.443308853707667,asd_son
F-050-C1A,6.44037929347564,asd_son
F-037-C2U,6.438552161840203,asd_son
F-004C1A,6.293547394355114,asd_son
F-024C1A,6.402318568257905,asd_son
F-008C2U,6.430389002811547,asd_son
F-061-C2U,6.412717814346565,asd_son
F-062-C2U,6.243470024851994,asd_son
N05,6.4444181056709064,autism_kb
F-029C2U,6.36083512082991,asd_son
F-026C1A,6.435484248746379,asd_son
N03,6.422635767345194,autism_kb
F-018C1A,6.349348864431155,asd_son
F-001C2U,6.316722163906892,asd_son
F-057-C1A,6.385449410081558,asd_son
F-036-C1A,6.365476328104046,asd_son
