,shannon,Dataset
F-018C1A,6.143039562557506,asd_son
F-017C1A,6.141653617645265,asd_son
F-025C2U,6.13821302131906,asd_son
F-057-C2U,6.1442613134131365,asd_son
F-057-C1A,6.1446865964001205,asd_son
F-047-C1A,6.144984230341762,asd_son
F-024C1A,6.143468197858901,asd_son
N13,6.1437302179102025,autism_kb
F-004C1A,6.13895934879532,asd_son
F-026C1A,6.145478081394892,asd_son
A09,6.145379011945114,autism_kb
F065-C1A,6.143698539969494,asd_son
F-002C1A,6.1444827278159,asd_son
F-038-C1A,6.1457529288389425,asd_son
F-030C1A,6.142199599678547,asd_son
F-031C1U,6.1459976997825665,asd_son
A02,6.1310284645080655,autism_kb
N02,6.13895366995745,autism_kb
F-043-C1A,6.143092016498106,asd_son
N06,6.141904726007742,autism_kb
F-054-C1A,6.142629421995108,asd_son
F-019C1A,6.146216603542327,asd_son
F-011C1A,6.1465862651879775,asd_son
A19,6.144901877456358,autism_kb
F-003C2U,6.143695693596716,asd_son
F-044-C1A,6.139975203685803,asd_son
F064-C1A,6.1403221091820654,asd_son
F-037-C1A,6.144376742004859,asd_son
F-041-C2U,6.144940909275697,asd_son
F-053-C1U,6.133386433389657,asd_son
F-001C2U,6.141309883614595,asd_son
F-017C2U,6.138818032650793,asd_son
F-009C2U,6.143169495951112,asd_son
F-062-C2U,6.136584596301493,asd_son
F-007C2U,6.145498888441467,asd_son
F-005C1A,6.143739375201115,asd_son
F-015C2U,6.141307153424557,asd_son
F-019C2U,6.145674274228898,asd_son
A17,6.146667859556954,autism_kb
F-021C2U,6.142657264016999,asd_son
F-059-C1A,6.142261176645461,asd_son
F-027C2U,6.145585049820296,asd_son
F-022C2U,6.138631141525165,asd_son
F-039-C2U,6.14599983019216,asd_son
F-028C1A,6.14617005257249,asd_son
F-062-C1A,6.144094805537589,asd_son
F-016C2U,6.142094057709965,asd_son
F-022C1A,6.1339193038880575,asd_son
F-037-C2U,6.143643910472925,asd_son
F-023C1A,6.1426848236684535,asd_son
F-042-C1A,6.145084552739847,asd_son
F-008C2U,6.1466213491188615,asd_son
A05,6.143992053568718,autism_kb
F-027C1A,6.142335571850039,asd_son
F-029C2U,6.135281688331266,asd_son
F-039-C1A,6.144264279717794,asd_son
F-001C1A,6.146690635542366,asd_son
N19,6.143648997582146,autism_kb
A10,6.1442302984733015,autism_kb
F-014C2U,6.144980946136057,asd_son
F-003C1A,6.145109695421599,asd_son
F-060-C1A,6.1401554150250295,asd_son
N14,6.138155590472176,autism_kb
F-023C2U,6.146540055574742,asd_son
F066-C2U,6.142275064594794,asd_son
F-010C1A,6.144885299509082,asd_son
F-015C1A,6.14268854635691,asd_son
F-032C1A,6.140173704859903,asd_son
F-041-C1A,6.144592048524141,asd_son
A18,6.139954867806229,autism_kb
F-044-C2U,6.143152324998057,asd_son
N04,6.140651167597564,autism_kb
A15,6.144212574617452,autism_kb
F-061-C2U,6.145056437350211,asd_son
F-058-C1A,6.145815034026925,asd_son
F-048-C1A,6.145266261621413,asd_son
F063-C1U,6.135584045486029,asd_son
F-029C1A,6.145331823386637,asd_son
A11,6.145961137287007,autism_kb
A14,6.139802356352805,autism_kb
F-054-C2U,6.145088044107839,asd_son
F-004C2U,6.141420901931521,asd_son
N20,6.142780987662916,autism_kb
N16,6.140691566421836,autism_kb
F-045-C1A,6.144757148969975,asd_son
N08,6.140821527703798,autism_kb
F-036-C1A,6.147262539729454,asd_son
F-050-C1A,6.129390818007499,asd_son
F-007C1A,6.145616290885197,asd_son
F-024C2U,6.146707822662821,asd_son
F-009C1A,6.136518396070407,asd_son
F-021C1A,6.143624933170612,asd_son
F066-C1A,6.139244425740368,asd_son
N11,6.136823325121996,autism_kb
F-012C1A,6.135226406135081,asd_son
F-025C1A,6.146279745682885,asd_son
F-020C1A,6.1466112258941195,asd_son
F-042-C2U,6.146715996319156,asd_son
F-034C1A,6.142949609237515,asd_son
A01,6.142296682742913,autism_kb
N15,6.138052518355518,autism_kb
F-033C1A,6.147671317913948,asd_son
F-035-C1A,6.144103342573314,asd_son
F-050-C2U,6.144576614591095,asd_son
N07,6.1447528649186465,autism_kb
F-051-C2U,6.144939164011294,asd_son
F-016C1A,6.1396493981743925,asd_son
N17,6.1367048667992385,autism_kb
F-018C2U,6.139985443378275,asd_son
N09,6.144770484624486,autism_kb
F-046-C1A,6.146015827292602,asd_son
F-040-C1A,6.146005985577355,asd_son
F-030C2U,6.142730519082388,asd_son
F-061-C1A,6.145612038373274,asd_son
F-058-C2U,6.138422136812432,asd_son
F-006C1A,6.145763028976234,asd_son
F-020C2U,6.145370532759387,asd_son
F-013C1U,6.144264628739657,asd_son
F-002C2U,6.143554622339299,asd_son
A06,6.142396366832157,autism_kb
F-014C1A,6.144219444129518,asd_son
F-052-C1U,6.1410104403747034,asd_son
N10,6.137300386594921,autism_kb
F-008C1A,6.1468960224520535,asd_son
F-046-C2U,6.147474725628124,asd_son
A07,6.144969914393319,autism_kb
F-028C2U,6.145269345106695,asd_son
F-051-C1A,6.147946890396837,asd_son
F-055-C1U,6.146671996124126,asd_son
N01,6.123772906738536,autism_kb
A04,6.146084996392572,autism_kb
A12,6.140834157222843,autism_kb
F-056-C1A,6.137330262458267,asd_son
F-049-C1U,6.143704743847453,asd_son
