,shannon,Dataset
F-001C1A,6.453508304177287,asd_son
A19,6.4548392824519185,autism_kb
A02,6.450286720313979,autism_kb
F-061-C2U,6.454161476740141,asd_son
F-029C1A,6.450382736915458,asd_son
A14,6.454454351378082,autism_kb
F-044-C2U,6.451827553335863,asd_son
N15,6.444281552461366,autism_kb
F-037-C1A,6.454790174490814,asd_son
F-050-C1A,6.452315937151342,asd_son
F-004C2U,6.45084802136676,asd_son
F-023C2U,6.456153127324327,asd_son
A09,6.453705541134677,autism_kb
F-021C2U,6.455299437989516,asd_son
F-001C2U,6.455332791127401,asd_son
N12,6.455030789304641,autism_kb
N11,6.442249098196022,autism_kb
F-027C1A,6.454407086855992,asd_son
F-035-C1A,6.456037164595138,asd_son
F-045-C1A,6.455623847214799,asd_son
N14,6.450726947802213,autism_kb
F-007C2U,6.454095439748253,asd_son
F-025C1A,6.456270204610992,asd_son
A15,6.454259920787171,autism_kb
F066-C2U,6.449140757492852,asd_son
F-049-C1U,6.450046943856707,asd_son
F-048-C1A,6.456284615928403,asd_son
F-005C1A,6.454433616641656,asd_son
A18,6.444550879963136,autism_kb
F-058-C1A,6.451056249224351,asd_son
F-051-C2U,6.4529954653240384,asd_son
F064-C1A,6.44789895328742,asd_son
A12,6.452383819317857,autism_kb
N04,6.456371727906367,autism_kb
F066-C1A,6.450977624827328,asd_son
F-037-C2U,6.452710142881312,asd_son
F-015C1A,6.452450105127144,asd_son
F-041-C2U,6.4467918808910305,asd_son
F-019C1A,6.45113702629154,asd_son
F-018C2U,6.450539356641099,asd_son
F-051-C1A,6.457478251913197,asd_son
F-031C1U,6.456510808283554,asd_son
F063-C1U,6.45707416804655,asd_son
F-036-C1A,6.4549685460784065,asd_son
F-014C2U,6.451679813054331,asd_son
F-058-C2U,6.453250061711554,asd_son
N08,6.451253375911854,autism_kb
N16,6.450901816007062,autism_kb
F-042-C1A,6.452636817348675,asd_son
F-050-C2U,6.454110593777135,asd_son
F-046-C1A,6.454968090596703,asd_son
F-061-C1A,6.4561292840314914,asd_son
A01,6.44733320772069,autism_kb
F-052-C1U,6.454658623014881,asd_son
F-012C1A,6.451131000041281,asd_son
F-026C1A,6.456083192851597,asd_son
F-054-C1A,6.441548417710254,asd_son
F-024C1A,6.455875510995952,asd_son
F-042-C2U,6.457219412401601,asd_son
F-003C2U,6.454334425983724,asd_son
N09,6.452177534106806,autism_kb
F-006C1A,6.454185437797359,asd_son
A08,6.452196346705002,autism_kb
N02,6.454214489887343,autism_kb
F-016C2U,6.454417463852995,asd_son
F-041-C1A,6.454452762417109,asd_son
F-017C2U,6.451761701661407,asd_son
F-002C1A,6.45117780234347,asd_son
F-009C2U,6.454315514609761,asd_son
F-028C1A,6.456094738539547,asd_son
N05,6.4526474277108905,autism_kb
F-008C2U,6.455471384287117,asd_son
N03,6.453594553408866,autism_kb
A16,6.4555658201099675,autism_kb
F-022C1A,6.449466534679923,asd_son
F-034C1A,6.454989618951998,asd_son
N07,6.453169342853264,autism_kb
F-004C1A,6.448160806799626,asd_son
F-056-C1A,6.452208354161536,asd_son
A10,6.454754351492907,autism_kb
A04,6.455049077143652,autism_kb
N01,6.452625574294998,autism_kb
F-015C2U,6.453551771000524,asd_son
F-060-C1A,6.449575825493613,asd_son
N18,6.452763115024522,autism_kb
A05,6.453357783879627,autism_kb
F065-C1A,6.454744002823122,asd_son
F-062-C1A,6.457654660601216,asd_son
A13,6.45640384675586,autism_kb
F-046-C2U,6.456891575748664,asd_son
N19,6.454652781020546,autism_kb
F-008C1A,6.456134060254153,asd_son
F-013C1U,6.453302491376145,asd_son
F-039-C1A,6.453794331241526,asd_son
F-033C1A,6.453750842135152,asd_son
F-011C1A,6.45642594410498,asd_son
A11,6.4556980434090105,autism_kb
N13,6.454075047191899,autism_kb
A07,6.455018123694824,autism_kb
F-030C2U,6.439847204406242,asd_son
F-002C2U,6.451724724620828,asd_son
F-062-C2U,6.45173919019036,asd_son
F-055-C1U,6.454236278462029,asd_son
F-025C2U,6.452475126391057,asd_son
F-053-C1U,6.4539852834060945,asd_son
F-040-C1A,6.454105939193335,asd_son
F-039-C2U,6.456310321743256,asd_son
F-024C2U,6.456804651599809,asd_son
F-023C1A,6.4556700256224735,asd_son
F-057-C1A,6.447650417064391,asd_son
F-009C1A,6.453763556868847,asd_son
F-059-C1A,6.452630174704363,asd_son
F-043-C1A,6.453403927351132,asd_son
A06,6.448583338899494,autism_kb
N20,6.454621070408161,autism_kb
F-044-C1A,6.449808203304711,asd_son
F-016C1A,6.451233951804093,asd_son
F-017C1A,6.454216656884805,asd_son
F-038-C1A,6.455758207121088,asd_son
F-020C1A,6.455988281494832,asd_son
F-032C1A,6.4516190265970925,asd_son
F-020C2U,6.45300256005695,asd_son
F-014C1A,6.454701105592213,asd_son
F-030C1A,6.452908215780988,asd_son
N10,6.455469161251449,autism_kb
F-003C1A,6.455454916570331,asd_son
F-010C1A,6.4551163385658565,asd_son
F-021C1A,6.456470033154436,asd_son
N06,6.452990724878731,autism_kb
F-028C2U,6.456173439563485,asd_son
F-057-C2U,6.454809714615504,asd_son
F-007C1A,6.452953411595453,asd_son
A17,6.456099832583593,autism_kb
F-047-C1A,6.449562765227809,asd_son
F-019C2U,6.454151624890836,asd_son
F-027C2U,6.456324403473768,asd_son
F-022C2U,6.44443376150612,asd_son
N17,6.45145675422997,autism_kb
F-054-C2U,6.453025004422749,asd_son
F-018C1A,6.437574997477308,asd_son
F-029C2U,6.455612591017627,asd_son
A03,6.454096818553807,autism_kb
