,shannon,Dataset
F-001C1A,6.193633169820977,asd_son
A19,6.221349205525354,autism_kb
A02,6.116804830080629,autism_kb
F-061-C2U,6.157749387401348,asd_son
F-029C1A,6.225582582960666,asd_son
A14,6.243733311164969,autism_kb
F-044-C2U,6.259455238144307,asd_son
N15,5.998104178311252,autism_kb
F-037-C1A,6.087283384132727,asd_son
F-050-C1A,6.161498912754405,asd_son
F-004C2U,6.17429974201052,asd_son
F-023C2U,6.26985846838319,asd_son
A09,6.217569605638916,autism_kb
F-021C2U,6.213697986140285,asd_son
F-001C2U,6.167576915288838,asd_son
N12,6.2070205184989415,autism_kb
N11,6.185556136432725,autism_kb
F-027C1A,6.131864805244239,asd_son
F-035-C1A,6.141477966955977,asd_son
F-045-C1A,6.2568609995760065,asd_son
N14,6.190526478051451,autism_kb
F-007C2U,6.300233333903545,asd_son
F-025C1A,6.096456244687635,asd_son
A15,6.23939038046583,autism_kb
F066-C2U,6.179661970312057,asd_son
F-049-C1U,6.1914933848869245,asd_son
F-048-C1A,6.149146137069084,asd_son
F-005C1A,6.200836151959297,asd_son
A18,6.177911099743713,autism_kb
F-058-C1A,6.121736577105935,asd_son
F-051-C2U,6.227861062579761,asd_son
F064-C1A,6.035636339675652,asd_son
A12,6.28160232373766,autism_kb
N04,6.226526615229049,autism_kb
F066-C1A,6.192449884512832,asd_son
F-037-C2U,6.092685571640366,asd_son
F-015C1A,6.08401931938981,asd_son
F-041-C2U,6.171515947270818,asd_son
F-019C1A,6.234712255376422,asd_son
F-018C2U,5.962364142005777,asd_son
F-051-C1A,6.269060324865852,asd_son
F-031C1U,6.027455279455249,asd_son
F063-C1U,6.228471594155588,asd_son
F-036-C1A,5.991269583593392,asd_son
F-014C2U,6.265367237010315,asd_son
F-058-C2U,6.26740711583451,asd_son
N08,6.2627648641311335,autism_kb
N16,6.134939021222851,autism_kb
F-042-C1A,6.162301918291993,asd_son
F-050-C2U,6.268900951683003,asd_son
F-046-C1A,6.231833182865094,asd_son
F-061-C1A,6.184916361607789,asd_son
A01,6.163898182006734,autism_kb
F-052-C1U,6.203420151241797,asd_son
F-012C1A,6.167577515426999,asd_son
F-026C1A,6.184344077605217,asd_son
F-054-C1A,6.256514787347231,asd_son
F-024C1A,6.230318084955766,asd_son
F-042-C2U,6.125719729132761,asd_son
F-003C2U,6.247178388954128,asd_son
N09,6.241930042792544,autism_kb
F-006C1A,6.171245121685858,asd_son
A08,6.222424146113044,autism_kb
N02,6.226625289038765,autism_kb
F-016C2U,6.210069621196925,asd_son
F-041-C1A,6.117774731880707,asd_son
F-017C2U,6.054665511152676,asd_son
F-002C1A,6.231941865801495,asd_son
F-009C2U,6.123675668655528,asd_son
F-028C1A,6.2675938105424045,asd_son
N05,6.196490892643613,autism_kb
F-008C2U,6.077759228209292,asd_son
N03,6.195887752806571,autism_kb
A16,6.1935785481655605,autism_kb
F-022C1A,6.207640591776916,asd_son
F-034C1A,6.232552728812107,asd_son
N07,6.0162096001478425,autism_kb
F-004C1A,6.196784517682834,asd_son
F-056-C1A,6.121266723341667,asd_son
A10,6.170030912066413,autism_kb
A04,6.268140846726296,autism_kb
N01,6.225037886408534,autism_kb
F-015C2U,6.174922677192461,asd_son
F-060-C1A,6.246739684981899,asd_son
N18,6.156550664838657,autism_kb
A05,6.179635609829742,autism_kb
F065-C1A,6.243078604105543,asd_son
F-062-C1A,6.179429960296055,asd_son
A13,6.175056645769878,autism_kb
F-046-C2U,6.214233312315168,asd_son
N19,6.287298379382282,autism_kb
F-008C1A,6.1844546206431605,asd_son
F-013C1U,6.233228942847973,asd_son
F-039-C1A,6.216415358508167,asd_son
F-033C1A,6.21828268241046,asd_son
F-011C1A,6.218830567345192,asd_son
A11,6.233850192818507,autism_kb
N13,5.9639075912128385,autism_kb
A07,6.20674167327567,autism_kb
F-030C2U,6.266072161540995,asd_son
F-002C2U,6.098456263549298,asd_son
F-062-C2U,6.114578165427099,asd_son
F-055-C1U,6.242229286708373,asd_son
F-025C2U,6.190097468949417,asd_son
F-053-C1U,6.109490242427801,asd_son
F-040-C1A,6.153975492726954,asd_son
F-039-C2U,6.078740454239301,asd_son
F-024C2U,6.15799591282296,asd_son
F-023C1A,6.202551738957606,asd_son
F-057-C1A,6.050336021917924,asd_son
F-009C1A,6.26687841127011,asd_son
F-059-C1A,6.194609450676631,asd_son
F-043-C1A,5.975249846611331,asd_son
A06,6.131047293244909,autism_kb
N20,6.221997917551611,autism_kb
F-044-C1A,6.156768940331556,asd_son
F-016C1A,6.179922164885249,asd_son
F-017C1A,6.107212080464106,asd_son
F-038-C1A,6.090852349525054,asd_son
F-020C1A,6.164949861268379,asd_son
F-032C1A,6.180020341812842,asd_son
F-020C2U,6.246959096687523,asd_son
F-014C1A,6.168177723997307,asd_son
F-030C1A,6.221884367925313,asd_son
N10,6.190126034395624,autism_kb
F-003C1A,6.106034270064175,asd_son
F-010C1A,6.22711780695225,asd_son
F-021C1A,6.141761635523163,asd_son
N06,6.154878419852837,autism_kb
F-028C2U,6.217346381845633,asd_son
F-057-C2U,6.156213558815874,asd_son
F-007C1A,6.237209630030258,asd_son
A17,6.119747322261971,autism_kb
F-047-C1A,6.334498025954516,asd_son
F-019C2U,6.178933239346114,asd_son
F-027C2U,6.135726669685732,asd_son
F-022C2U,6.201161395734909,asd_son
N17,6.2840664861656474,autism_kb
F-054-C2U,5.999419381546626,asd_son
F-018C1A,6.233337281600109,asd_son
F-029C2U,6.199889690769425,asd_son
A03,6.159004822144302,autism_kb
