,shannon,Dataset
FMT23,3.1981833416147727,cdi_youngster
DA01381,3.4886415845698466,cdi_schubert
FMT3A,3.568384555101419,cdi_youngster
DA10173,2.936486619372994,cdi_schubert
DA10123,3.3504268619319495,cdi_schubert
DA10006,4.325160206956383,cdi_schubert
DA10011,3.869389770148365,cdi_schubert
DA00331,3.4258419742105417,cdi_schubert
DA01324,3.8226708460352166,cdi_schubert
DA01547,3.941366110685176,cdi_schubert
DA10113,3.462789694976804,cdi_schubert
FMT04,3.3282295964433275,cdi_youngster
FMT72,2.298330030505328,cdi_youngster
FMT85,3.507357775146521,cdi_youngster
FMT10,2.185662126299899,cdi_youngster
DA00997,3.6462404632679846,cdi_schubert
DA10059,3.592669091194336,cdi_schubert
DA01441,3.523411973924741,cdi_schubert
FMT101,1.8447366202357873,cdi_youngster
DA10042,3.6427525756343115,cdi_schubert
DA10184,3.3766054660614606,cdi_schubert
DA01563,2.531366510649161,cdi_schubert
DA10035,3.95908505777695,cdi_schubert
DA01167,2.7655405232188413,cdi_schubert
FMT13A,3.2562234654126083,cdi_youngster
DA01205,3.2143730644604345,cdi_schubert
FMT30,3.656029872271948,cdi_youngster
FMT4A,3.5870868379452583,cdi_youngster
FMT20,1.0228473690155884,cdi_youngster
DA00375,1.7760234428297603,cdi_schubert
FMT103,2.420357840406891,cdi_youngster
DA00065,3.4123701914790936,cdi_schubert
DA10142,4.2561887349613485,cdi_schubert
FMT97,2.912589419214382,cdi_youngster
GSVY1IH04.MID6.pool4-6,2.9390418618785827,cdi_vincent_v3v5
GSVY1IH04.MID8.pool4-8,3.954736859994735,cdi_vincent_v3v5
GSVY1IH04.MID9.pool4-9,3.2978711112923653,cdi_vincent_v3v5
FMT12A,3.8511689503176187,cdi_youngster
DA10048,3.816122148573397,cdi_schubert
FMT81,3.6472154723633796,cdi_youngster
GG349S007.MID13.1327,2.9045349437281374,cdi_vincent_v3v5
DA01384,3.335838251079264,cdi_schubert
DA10061,2.9526974523521266,cdi_schubert
DA01203,3.6569813836616083,cdi_schubert
FMT44,3.730916601766672,cdi_youngster
DA10112,3.3000630701980227,cdi_schubert
DA01235,2.423720558371001,cdi_schubert
DA10158,3.7968095644962667,cdi_schubert
DA10177,3.6274981272112456,cdi_schubert
GG349S001.MID13.1320,2.6814000424624376,cdi_vincent_v3v5
DA10136,3.651733513403678,cdi_schubert
DA10139,3.8749010044394305,cdi_schubert
DA10023,3.9856736797866312,cdi_schubert
DA10167,3.581311758596419,cdi_schubert
FMT17A,3.585838234742579,cdi_youngster
DA10122,2.868250546811748,cdi_schubert
FMT109,2.6465233482337096,cdi_youngster
DA01213,1.498880087308224,cdi_schubert
DA10024,3.4465008587316017,cdi_schubert
FMT108,3.2738176791932867,cdi_youngster
DA10094,3.603077845448283,cdi_schubert
DA10032,3.582707391418466,cdi_schubert
FMT95,2.677404503618195,cdi_youngster
DA01227,1.7671674295459519,cdi_schubert
FMT23A,3.2898098183175057,cdi_youngster
DA00673,3.030651028907863,cdi_schubert
DA01555,2.821327332490693,cdi_schubert
FMT102,2.845852240491273,cdi_youngster
DA01267,3.185103534205983,cdi_schubert
DA10170,3.5354543252915813,cdi_schubert
DA01311,3.7373227425635576,cdi_schubert
DA00210,3.451831533257634,cdi_schubert
GSVY1IH03.MID6.pool3-6,3.601506949562564,cdi_vincent_v3v5
DA01467,3.5464518121523305,cdi_schubert
DA10109,3.220204226341403,cdi_schubert
DA00550,3.452984950654501,cdi_schubert
FMT29,3.300172189662113,cdi_youngster
DA01231,3.8679927778409717,cdi_schubert
DA10056,2.277719025905623,cdi_schubert
DA10069,4.3002647981725355,cdi_schubert
DA10049,4.050444523062744,cdi_schubert
DA10172,4.139168335523092,cdi_schubert
GG349S003.MID13.1322,3.6007418158932154,cdi_vincent_v3v5
DA10101,2.9195319438842655,cdi_schubert
DA00735,2.723897566654159,cdi_schubert
DA00299,3.8088720354526093,cdi_schubert
GG349S004.MID13.1323,2.487576911062157,cdi_vincent_v3v5
DA10030,3.2356196857018023,cdi_schubert
DA10066,2.801601276990463,cdi_schubert
GSVY1IH01.MID9.pool1-9,3.9489587218829927,cdi_vincent_v3v5
FMT34,3.105629842933254,cdi_youngster
DA00703,3.1671682446816183,cdi_schubert
GSVY1IH03.MID4.pool3-4,2.2511954026171868,cdi_vincent_v3v5
FMT53,3.537383602667117,cdi_youngster
DA00896,2.6103162613230384,cdi_schubert
DA00383,3.1937627881160875,cdi_schubert
DA10082,4.334467226061595,cdi_schubert
FMT25A,3.0677828755168193,cdi_youngster
DA10174,3.0743904162976254,cdi_schubert
DA00556,3.277709773319539,cdi_schubert
DA10120,2.693844477017692,cdi_schubert
FMT47,3.131713003029655,cdi_youngster
DA10065,3.3646689394949387,cdi_schubert
DA00984,3.9240847820770677,cdi_schubert
DA10114,3.5714054241535482,cdi_schubert
DA01242,3.1431358257251336,cdi_schubert
GSVY1IH01.MID11.pool1-11,2.49099266912322,cdi_vincent_v3v5
GSVY1IH03.MID7.pool3-7,2.953079943433473,cdi_vincent_v3v5
DA01128,4.024230179620404,cdi_schubert
GSVY1IH04.MID3.pool4-3,2.1084226367658117,cdi_vincent_v3v5
GSVY1IH03.MID8.pool3-8,3.830322384912178,cdi_vincent_v3v5
DA01335,2.7617688469014636,cdi_schubert
DA00575,2.046920599464483,cdi_schubert
DA01018,3.1226445490630126,cdi_schubert
FMT92A,4.260177200990841,cdi_youngster
GSVY1IH04.MID2.pool4-2,3.823227352122159,cdi_vincent_v3v5
DA10176,4.111556786270574,cdi_schubert
DA10150,2.973196076916152,cdi_schubert
FMT06,3.811973819155515,cdi_youngster
DA10125,3.4381716327895746,cdi_schubert
FMT6A,3.878973896888295,cdi_youngster
DA01380,4.051139499322763,cdi_schubert
DA00850,2.0186562134063353,cdi_schubert
DA01129,2.416290447928144,cdi_schubert
DA00108,2.7164840733949522,cdi_schubert
DA10054,4.188544424071071,cdi_schubert
DA00382,3.9076771872892473,cdi_schubert
FMT31,3.5288962691053296,cdi_youngster
DA10076,3.7761522463634667,cdi_schubert
DA00927,3.2844076920000735,cdi_schubert
DA10033,3.2307615937281944,cdi_schubert
DA01582,2.985481785518591,cdi_schubert
DA10079,3.9486876765799965,cdi_schubert
FMT13,3.6200581455869703,cdi_youngster
DA01190,2.559945666839383,cdi_schubert
DA10156,3.6805191748558137,cdi_schubert
DA10098,3.7188033299837167,cdi_schubert
DA10040,4.215425458618343,cdi_schubert
DA10012,3.3445734850255047,cdi_schubert
DA01157,4.0027634013112445,cdi_schubert
DA10015,3.0367582085704306,cdi_schubert
DA10019,3.162851619463063,cdi_schubert
DA10093,2.8094411072064616,cdi_schubert
DA10135,3.206292838054288,cdi_schubert
DA01041,3.2708203320581624,cdi_schubert
DA10085,3.424916323677965,cdi_schubert
DA00283,2.651782129594977,cdi_schubert
DA01024,3.5757954918208847,cdi_schubert
FMT14A,3.5417360059830165,cdi_youngster
FMT32,2.9222464265143646,cdi_youngster
FMT50,2.0416354140755706,cdi_youngster
DA00815,3.092184558490545,cdi_schubert
DA00908,3.2889712964036373,cdi_schubert
DA00380,2.0577746113801045,cdi_schubert
DA10073,3.234649284989305,cdi_schubert
GG349S008.MID13.1328,3.3123158072165917,cdi_vincent_v3v5
DA10152,3.158690797372267,cdi_schubert
FMT19A,3.7977209367050095,cdi_youngster
GSVY1IH03.MID11.pool3-11,2.7986002040917017,cdi_vincent_v3v5
GSVY1IH01.MID3.pool1-3,3.018266920306473,cdi_vincent_v3v5
DA10154,3.694886121268119,cdi_schubert
DA10022,4.026300405748907,cdi_schubert
DA00605,2.8205215155397867,cdi_schubert
DA01044,3.467907967572735,cdi_schubert
DA00889,2.701604635182848,cdi_schubert
DA01588,3.642505386848077,cdi_schubert
DA10186,2.015805280812202,cdi_schubert
DA00581,3.238141072083035,cdi_schubert
DA10018,3.675926826635056,cdi_schubert
GSVY1IH02.MID6.pool2-6,3.6378124253272848,cdi_vincent_v3v5
DA00280,3.038366776544513,cdi_schubert
DA10115,3.2661065128647166,cdi_schubert
DA00720,2.8023660058070523,cdi_schubert
DA10171,3.284359722447448,cdi_schubert
GSVY1IH04.MID7.pool4-7,3.270888753077616,cdi_vincent_v3v5
DA10083,3.2742910666809055,cdi_schubert
FMT51,3.71200978374246,cdi_youngster
DA00955,3.560076261628722,cdi_schubert
DA00659,2.990315386803306,cdi_schubert
DA10106,4.143364953727736,cdi_schubert
DA10131,3.329888530060514,cdi_schubert
FMT22,4.205219898755122,cdi_youngster
FMT21A,0.9408583054122932,cdi_youngster
DA10147,3.4617838133344296,cdi_schubert
DA10008,4.064571864285028,cdi_schubert
FMT05,2.501083672257279,cdi_youngster
FMT96,1.6313504522154467,cdi_youngster
DA00282,3.0097883417737012,cdi_schubert
DA01072,3.5750247938722786,cdi_schubert
DA01501,3.479223163190812,cdi_schubert
DA00804,3.310363634419997,cdi_schubert
DA10067,3.2815625762799043,cdi_schubert
FMT67,3.036613638813224,cdi_youngster
FMT24,3.214831675886617,cdi_youngster
GSVY1IH01.MID5.pool1-5,3.741769237166563,cdi_vincent_v3v5
DA01030,3.285425795573515,cdi_schubert
DA10068,2.850206215630621,cdi_schubert
FMT71,3.7267157893812266,cdi_youngster
DA00498,3.791844036960396,cdi_schubert
DA00886,3.924829638447066,cdi_schubert
DA00912,1.8340160812946305,cdi_schubert
DA00170,3.4984424888802477,cdi_schubert
FMT25,2.9176190292562,cdi_youngster
DA00904,3.0765230817379305,cdi_schubert
DA00530,3.4934418487698986,cdi_schubert
DA10009,3.816731189486157,cdi_schubert
DA00989,3.2647756468845346,cdi_schubert
DA10047,3.982356106120645,cdi_schubert
DA00555,3.221461716896212,cdi_schubert
DA00897,1.1448780206188047,cdi_schubert
DA10095,3.910791705263265,cdi_schubert
GSVY1IH01.MID10.pool1-10,3.4623366417471577,cdi_vincent_v3v5
DA01089,2.7191546524389274,cdi_schubert
GSVY1IH02.MID12.pool2-12,3.595958024892048,cdi_vincent_v3v5
DA00502,3.1558267913332476,cdi_schubert
GSVY1IH04.MID11.pool4-11,2.259221240716038,cdi_vincent_v3v5
DA10110,3.46204920573401,cdi_schubert
FMT62,2.9395857379553005,cdi_youngster
FMT56,2.009636476542849,cdi_youngster
FMT99,2.9885659081466605,cdi_youngster
DA00658,2.969741768371609,cdi_schubert
FMT64,2.6694569700382065,cdi_youngster
DA10075,3.129009448621299,cdi_schubert
FMT11,4.082527969339309,cdi_youngster
DA10084,3.284585933919447,cdi_schubert
DA10178,3.2231747871543606,cdi_schubert
DA01211,3.7751249811289083,cdi_schubert
DA00153,3.8449368174384735,cdi_schubert
FMT33,2.9735346031446643,cdi_youngster
DA01370,3.6799137177448507,cdi_schubert
DA10041,3.113181247419779,cdi_schubert
DA00228,2.173908904888786,cdi_schubert
GG349S005.MID13.1325,4.1241586509949615,cdi_vincent_v3v5
DA10130,2.8097764215592718,cdi_schubert
FMT28,3.14309402765276,cdi_youngster
DA00430,3.0904583968062496,cdi_schubert
DA10129,3.1093792465410655,cdi_schubert
FMT1A,3.5284856678923346,cdi_youngster
DA10028,3.3182732012455824,cdi_schubert
DA01138,1.8277262827730278,cdi_schubert
DA10182,3.6257408669874573,cdi_schubert
DA00568,3.217833361325825,cdi_schubert
DA10050,3.4420394751917534,cdi_schubert
DA01482,3.724305229309042,cdi_schubert
DA00565,3.6862183628266316,cdi_schubert
GG349S002.MID13.1321,3.7138991417297866,cdi_vincent_v3v5
DA00740,2.3141876727770505,cdi_schubert
DA10117,3.79924270512208,cdi_schubert
FMT49,4.277739031788064,cdi_youngster
DA00691,3.1820882736269116,cdi_schubert
DA10090,3.673581476829328,cdi_schubert
DA10157,3.3484343913114087,cdi_schubert
DA10160,3.524033874904362,cdi_schubert
GSVY1IH04.MID7.pool4-1,2.3192649473281666,cdi_vincent_v3v5
FMT15,2.498298545130183,cdi_youngster
DA01106,2.5424655449495783,cdi_schubert
DA01161,4.049919805054224,cdi_schubert
DA10181,3.6681724021362876,cdi_schubert
DA01119,3.2517080683503305,cdi_schubert
FMT20A,0.951278180447676,cdi_youngster
DA10097,3.9341578734475027,cdi_schubert
DA10051,3.8542331435547137,cdi_schubert
FMT41,3.391356226323816,cdi_youngster
DA00721,2.982420584777865,cdi_schubert
DA10016,3.4726668660989803,cdi_schubert
DA10081,3.852061126795126,cdi_schubert
GSVY1IH02.MID4.pool2-4,3.27014019152385,cdi_vincent_v3v5
DA10005,2.810489022049085,cdi_schubert
DA10149,2.4509671139627365,cdi_schubert
GG349S006.MID13.1326,3.9232826728429595,cdi_vincent_v3v5
FMT88,3.2169729691832267,cdi_youngster
