,shannon,Dataset
FMT98,1.4980577578115155,cdi_youngster
FMT06,2.738884412565397,cdi_youngster
DA00918,3.353407122837593,cdi_schubert
DA01311,2.536630474858386,cdi_schubert
DA10100,2.980814067714196,cdi_schubert
DA10147,2.858409028274199,cdi_schubert
GSVY1IH02.MID8.pool2-8,2.2854085899697267,cdi_vincent_v3v5
DA00430,2.7119006532298715,cdi_schubert
DA00897,2.966813421487933,cdi_schubert
DA10023,2.990883065740547,cdi_schubert
DA10189,3.6913094098860237,cdi_schubert
DA01313,3.3444307187829465,cdi_schubert
DA10029,3.292075560370254,cdi_schubert
FMT43,4.368305711807965,cdi_youngster
FMT77,3.4947454069641477,cdi_youngster
DA01190,3.2910196738937567,cdi_schubert
DA10084,2.9848081088017797,cdi_schubert
DA10134,4.125353603270444,cdi_schubert
FMT11,3.1455954517782203,cdi_youngster
FMT29,3.570642167246779,cdi_youngster
DA10123,3.237466394935802,cdi_schubert
DA10062,3.7944591272734556,cdi_schubert
DA10138,3.0215741764609256,cdi_schubert
DA10024,3.3442602704352256,cdi_schubert
FMT10,2.523492503282359,cdi_youngster
DA01501,2.6373362764532287,cdi_schubert
GSVY1IH01.MID9.pool1-9,2.4373120091854314,cdi_vincent_v3v5
GSVY1IH03.MID6.pool3-6,4.521718833474185,cdi_vincent_v3v5
DA10061,4.042752274425448,cdi_schubert
DA00850,3.6896804914740615,cdi_schubert
DA10157,2.456091822644794,cdi_schubert
DA01168,4.564961109744345,cdi_schubert
DA01370,3.2646264175644895,cdi_schubert
DA10119,3.9831535931310973,cdi_schubert
DA00886,3.3926975300281645,cdi_schubert
GSVY1IH03.MID3.pool3-3,3.234712698567108,cdi_vincent_v3v5
DA10136,3.1308101379471496,cdi_schubert
DA00962,2.971906376273957,cdi_schubert
DA01138,3.720242328887618,cdi_schubert
GSVY1IH01.MID4.pool1-4,2.923382761808617,cdi_vincent_v3v5
DA01193,3.23050550743996,cdi_schubert
FMT15B,2.5968365467222685,cdi_youngster
FMT33,1.5265592082355508,cdi_youngster
DA00812,3.840568485307187,cdi_schubert
FMT44,1.3404418150097233,cdi_youngster
FMT1A,2.687660843617569,cdi_youngster
DA10028,2.488311513262958,cdi_schubert
DA10083,2.9717028883995504,cdi_schubert
DA10039,2.902243950881074,cdi_schubert
DA10094,3.66047240656889,cdi_schubert
DA00458,3.2492755751163838,cdi_schubert
GSVY1IH01.MID7.pool1-7,2.5425193675711304,cdi_vincent_v3v5
DA00815,2.5523231121713175,cdi_schubert
DA10103,4.018499209208338,cdi_schubert
GSVY1IH02.MID3.pool2-3,3.668201530904112,cdi_vincent_v3v5
DA00381,2.8544198053034004,cdi_schubert
DA00810,3.4375989785004384,cdi_schubert
DA10166,3.9460397046295492,cdi_schubert
DA01467,3.9013409033133057,cdi_schubert
DA01555,3.44151718900788,cdi_schubert
DA10090,2.0683044240273567,cdi_schubert
DA01024,2.008434192233309,cdi_schubert
FMT105,2.7095263406894694,cdi_youngster
DA10051,3.2839166022153043,cdi_schubert
DA10049,0.4655924960321029,cdi_schubert
FMT50,3.143997170076224,cdi_youngster
DA00283,3.457567499925562,cdi_schubert
GSVY1IH03.MID12.pool3-12,2.7117706169186033,cdi_vincent_v3v5
DA01231,4.126652477724221,cdi_schubert
DA00984,3.2153291327472253,cdi_schubert
DA00565,3.7833940909144728,cdi_schubert
DA10176,2.167282974955694,cdi_schubert
DA00550,2.348863481407309,cdi_schubert
DA10030,2.4775422286653983,cdi_schubert
DA00989,2.8542923023082913,cdi_schubert
DA10042,4.385981435687504,cdi_schubert
FMT35,2.2779587027622568,cdi_youngster
DA01235,2.3197567267930124,cdi_schubert
DA10068,3.697437659388477,cdi_schubert
DA10006,3.2369263151681738,cdi_schubert
DA00491,4.119806704622317,cdi_schubert
DA01109,2.8732998915237893,cdi_schubert
DA01388,1.3310986587605937,cdi_schubert
DA00108,3.1116974578529124,cdi_schubert
FMT93,3.271524028155193,cdi_youngster
DA00804,3.476701419036778,cdi_schubert
DA10165,2.488025052035334,cdi_schubert
DA10181,2.072367713651831,cdi_schubert
DA01267,3.8134727889413798,cdi_schubert
DA10007,3.049131825701151,cdi_schubert
FMT78,0.6236902108226825,cdi_youngster
DA10054,2.324442082788118,cdi_schubert
DA01384,3.615886670092568,cdi_schubert
DA10155,3.9433079676089258,cdi_schubert
DA00885,4.059692750648876,cdi_schubert
DA10093,3.093939986507315,cdi_schubert
DA01441,2.878811996738717,cdi_schubert
FMT72,3.591527082969131,cdi_youngster
GSVY1IH03.MID4.pool3-4,3.481750433795052,cdi_vincent_v3v5
DA00619,3.920306626967552,cdi_schubert
FMT3A,3.4756370499930522,cdi_youngster
DA00282,3.400186998613333,cdi_schubert
DA01129,1.8184597043827797,cdi_schubert
FMT55,2.9995766740682908,cdi_youngster
DA10048,2.2056264244732797,cdi_schubert
DA01588,3.0846753888968035,cdi_schubert
GSVY1IH01.MID6.pool1-6,2.6472392536422036,cdi_vincent_v3v5
DA10167,3.7568378764043264,cdi_schubert
FMT20,3.593601997169821,cdi_youngster
DA10047,2.5327615691068233,cdi_schubert
FMT81,2.3394642313554965,cdi_youngster
DA10079,2.900267508704234,cdi_schubert
DA00754,2.634638440279666,cdi_schubert
GSVY1IH04.MID7.pool4-1,3.3819049510372636,cdi_vincent_v3v5
FMT5A,3.4300292265707095,cdi_youngster
