,shannon,Dataset
FMT30,3.2663625221268244,cdi_youngster
DA10119,1.869610469407952,cdi_schubert
DA00904,2.54600033626949,cdi_schubert
DA10093,3.705703143763797,cdi_schubert
DA00578,4.5134116640056225,cdi_schubert
DA10115,2.642745494339917,cdi_schubert
GSVY1IH03.MID6.pool3-6,2.0034565765956613,cdi_vincent_v3v5
DA10049,1.3066833217485587,cdi_schubert
DA00850,0.05378341440418292,cdi_schubert
DA00962,2.972404196315324,cdi_schubert
DA10002,2.6524007208327904,cdi_schubert
FMT11,2.8712363434315633,cdi_youngster
DA10178,3.2163791836026308,cdi_schubert
DA10156,2.3742631266650926,cdi_schubert
DA10145,2.9040977122356355,cdi_schubert
DA01255,0.22154725804720213,cdi_schubert
DA01495,1.6296028946678651,cdi_schubert
FMT5A,2.516083532504689,cdi_youngster
GSVY1IH02.MID3.pool2-3,3.893981762351172,cdi_vincent_v3v5
DA00673,2.5133405760181544,cdi_schubert
DA01563,1.7344767437280322,cdi_schubert
DA10133,1.7433706294029376,cdi_schubert
FMT03,3.585234966339301,cdi_youngster
DA10176,1.7969518578420096,cdi_schubert
FMT10A,0.5829647331090405,cdi_youngster
FMT29,3.504987318923182,cdi_youngster
DA01146,2.5169987004173295,cdi_schubert
DA10005,3.179410909092647,cdi_schubert
FMT04,1.841456048719368,cdi_youngster
DA10028,2.506198681729263,cdi_schubert
DA00779,3.0741838045538525,cdi_schubert
DA10146,3.1470691117292127,cdi_schubert
FMT56,2.5379100799217658,cdi_youngster
FMT21A,2.2491360456755376,cdi_youngster
FMT49,1.4459464838501197,cdi_youngster
DA10161,3.4186561309569843,cdi_schubert
DA00108,2.0506244793090875,cdi_schubert
DA00280,3.2835492103763615,cdi_schubert
DA01313,3.852122038957553,cdi_schubert
FMT20,3.6642181586966425,cdi_youngster
GSVY1IH01.MID2.pool1-2,2.554817916384659,cdi_vincent_v3v5
DA00575,3.819002098463508,cdi_schubert
FMT32,0.9196629984764569,cdi_youngster
DA10113,4.103223162841703,cdi_schubert
DA10097,1.2695316524243403,cdi_schubert
DA10152,3.2823289688251376,cdi_schubert
DA10160,4.1270129979273475,cdi_schubert
DA00949,3.6019590748298698,cdi_schubert
GSVY1IH03.MID9.pool3-9,2.138205995455423,cdi_vincent_v3v5
GSVY1IH03.MID12.pool3-12,3.324980209760333,cdi_vincent_v3v5
GSVY1IH03.MID3.pool3-3,3.423285817961445,cdi_vincent_v3v5
DA01242,2.0338890025725402,cdi_schubert
DA10092,2.205397011191173,cdi_schubert
DA00153,3.9695101997707685,cdi_schubert
FMT35,2.7217725574487917,cdi_youngster
DA10018,3.3611029909966255,cdi_schubert
FMT15A,2.7506509215624955,cdi_youngster
FMT67,2.8411306733297974,cdi_youngster
DA10019,1.8518322017385878,cdi_schubert
DA00861,3.3620091634788,cdi_schubert
DA00431,2.5996267909298894,cdi_schubert
GSVY1IH03.MID7.pool3-7,4.025917603729975,cdi_vincent_v3v5
DA00886,3.6775968883338903,cdi_schubert
GSVY1IH04.MID6.pool4-6,1.9735600064730163,cdi_vincent_v3v5
DA01441,2.8277342568681645,cdi_schubert
DA01005,2.24289597921372,cdi_schubert
FMT1A,3.940810500435457,cdi_youngster
DA00375,2.022912669244709,cdi_schubert
FMT85,3.3597969048532725,cdi_youngster
DA00568,3.667696752600679,cdi_schubert
DA00926,2.923798162986058,cdi_schubert
DA00268,2.424232994583501,cdi_schubert
DA01501,3.272548936684958,cdi_schubert
DA10040,1.8029348067940958,cdi_schubert
DA00947,2.6975626110165667,cdi_schubert
DA01210,2.880631028141939,cdi_schubert
DA00346,2.808369982076559,cdi_schubert
FMT53,2.5269348060754506,cdi_youngster
FMT31,3.716720216586345,cdi_youngster
DA00282,2.235754791810479,cdi_schubert
DA10067,2.2724744412750635,cdi_schubert
FMT37,0.8751324347105118,cdi_youngster
FMT84,3.524857088321511,cdi_youngster
DA10007,2.2885458922611495,cdi_schubert
FMT14,4.07223368262974,cdi_youngster
FMT14A,2.2237023297943295,cdi_youngster
GSVY1IH01.MID12.pool1-12,2.9454649915281563,cdi_vincent_v3v5
DA10034,1.7360140876635894,cdi_schubert
DA10131,2.028577286230625,cdi_schubert
DA00283,2.4797751457112267,cdi_schubert
DA00006,2.390370484542788,cdi_schubert
DA10106,1.8295621400819804,cdi_schubert
DA10056,2.5525661902369685,cdi_schubert
DA10187,2.2951330711443694,cdi_schubert
FMT95,0.18525826097192588,cdi_youngster
DA10101,2.4442406263135377,cdi_schubert
DA10124,2.9214642005517217,cdi_schubert
DA01186,4.190196667255588,cdi_schubert
FMT20A,1.9316215368132224,cdi_youngster
DA00369,3.696961040753397,cdi_schubert
DA00065,4.488965840749564,cdi_schubert
FMT13,4.051247884126448,cdi_youngster
DA10094,3.3556962765491316,cdi_schubert
DA10182,3.323469956982448,cdi_schubert
DA10047,2.115621793810181,cdi_schubert
FMT05,2.0134460834529557,cdi_youngster
DA10033,2.338292727514131,cdi_schubert
DA10009,4.279465123506759,cdi_schubert
DA10091,1.5453287553389625,cdi_schubert
DA00339,4.189256362878013,cdi_schubert
DA10136,3.7708949813728663,cdi_schubert
DA10181,1.4815009799996597,cdi_schubert
DA00236,3.923686220391389,cdi_schubert
DA10085,3.828412241558891,cdi_schubert
DA00470,2.7975908489348345,cdi_schubert
DA00755,2.5385097842258135,cdi_schubert
DA01068,2.0539522183557035,cdi_schubert
FMT17A,4.487847803424859,cdi_youngster
DA00691,2.852055407526538,cdi_schubert
DA00044,2.9564224733973368,cdi_schubert
FMT16,3.5618268082950175,cdi_youngster
DA00498,2.0019121627040537,cdi_schubert
DA10027,3.2921852367197957,cdi_schubert
DA01143,2.7914633187798055,cdi_schubert
GSVY1IH04.MID3.pool4-3,3.0327240296963685,cdi_vincent_v3v5
DA10104,2.494300413255397,cdi_schubert
DA01044,3.5360642948330643,cdi_schubert
DA10112,2.872503933180808,cdi_schubert
GG349S006.MID13.1326,3.562346743848591,cdi_vincent_v3v5
DA01380,3.1157036680922023,cdi_schubert
DA00721,3.117703713539283,cdi_schubert
DA00997,2.9361601459274005,cdi_schubert
FMT74,3.708046110120151,cdi_youngster
DA01468,4.223133786826974,cdi_schubert
DA01370,2.5456444415106776,cdi_schubert
DA01235,2.915700573868479,cdi_schubert
DA10171,1.9345842566020641,cdi_schubert
GSVY1IH02.MID11.pool2-11,3.5990246869761147,cdi_vincent_v3v5
DA10066,3.131339643994472,cdi_schubert
DA10159,1.3324901968424654,cdi_schubert
DA10167,2.355672168011843,cdi_schubert
DA10037,1.3118077209802588,cdi_schubert
GSVY1IH03.MID8.pool3-8,1.8188154656465791,cdi_vincent_v3v5
DA10081,2.5104596402758212,cdi_schubert
DA10016,3.9394529159201674,cdi_schubert
DA00580,2.09664041155648,cdi_schubert
GG349S005.MID13.1325,2.528392008019256,cdi_vincent_v3v5
FMT59,3.6070275360644724,cdi_youngster
DA01109,3.4488922589955746,cdi_schubert
FMT77,1.9197365437517708,cdi_youngster
DA10024,1.9769918856607902,cdi_schubert
