,shannon,Dataset
FMT30,3.7826302974683705,cdi_youngster
DA10119,4.034386868304833,cdi_schubert
DA00904,3.6198693016528662,cdi_schubert
DA10093,3.9397273153917327,cdi_schubert
DA00578,4.609582508030329,cdi_schubert
DA10115,2.6609633684751777,cdi_schubert
GSVY1IH03.MID6.pool3-6,2.5846488740274873,cdi_vincent_v3v5
DA10049,3.05363064171261,cdi_schubert
DA00850,1.0366295407333408,cdi_schubert
DA00962,3.6785759572329266,cdi_schubert
DA10002,3.2205303066132474,cdi_schubert
FMT11,3.614594236450096,cdi_youngster
DA10178,3.5078958512159275,cdi_schubert
DA10156,3.721169587320824,cdi_schubert
DA10145,2.876894703289849,cdi_schubert
DA01255,1.7126709749865574,cdi_schubert
DA01495,2.8362444559619835,cdi_schubert
FMT5A,2.641281291570978,cdi_youngster
GSVY1IH02.MID3.pool2-3,4.320372089523856,cdi_vincent_v3v5
DA00673,3.459523201805967,cdi_schubert
DA01563,3.097968320146065,cdi_schubert
DA10133,2.411895906059999,cdi_schubert
FMT03,3.2218968696505326,cdi_youngster
DA10176,2.3312064054030053,cdi_schubert
FMT10A,1.4473380786004275,cdi_youngster
FMT29,4.013572756802409,cdi_youngster
DA01146,3.635219965816517,cdi_schubert
DA10005,3.763216151108789,cdi_schubert
FMT04,2.3649544433297454,cdi_youngster
DA10028,2.4635867453286475,cdi_schubert
DA00779,3.7452831128217254,cdi_schubert
DA10146,3.2082873325154995,cdi_schubert
FMT56,3.634334450173211,cdi_youngster
FMT21A,2.3804643024538192,cdi_youngster
FMT49,2.8118966549617443,cdi_youngster
DA10161,3.334197485975958,cdi_schubert
DA00108,3.211873318257941,cdi_schubert
DA00280,3.7706913871011536,cdi_schubert
DA01313,3.8645087263471405,cdi_schubert
FMT20,4.0459356447480905,cdi_youngster
GSVY1IH01.MID2.pool1-2,3.132621300157998,cdi_vincent_v3v5
DA00575,4.189594863923631,cdi_schubert
FMT32,1.6654248073992672,cdi_youngster
DA10113,4.421767703663444,cdi_schubert
DA10097,3.157189467305388,cdi_schubert
DA10152,3.1348822364668165,cdi_schubert
DA10160,4.377566527945432,cdi_schubert
DA00949,3.4423725866265786,cdi_schubert
GSVY1IH03.MID9.pool3-9,3.2275283735163076,cdi_vincent_v3v5
GSVY1IH03.MID12.pool3-12,3.394584203053925,cdi_vincent_v3v5
GSVY1IH03.MID3.pool3-3,3.863517449738403,cdi_vincent_v3v5
DA01242,2.37950829276962,cdi_schubert
DA10092,2.7449751501429436,cdi_schubert
DA00153,3.4538104221879236,cdi_schubert
FMT35,3.460119252899848,cdi_youngster
DA10018,4.159881583661307,cdi_schubert
FMT15A,3.1262744712352903,cdi_youngster
FMT67,3.9120472732309772,cdi_youngster
DA10019,3.494203670104959,cdi_schubert
DA00861,3.656342610139049,cdi_schubert
DA00431,2.9984208263071026,cdi_schubert
GSVY1IH03.MID7.pool3-7,4.060183884970303,cdi_vincent_v3v5
DA00886,3.8402154955556336,cdi_schubert
GSVY1IH04.MID6.pool4-6,3.5833439415465906,cdi_vincent_v3v5
DA01441,3.3526506887107788,cdi_schubert
DA01005,3.1422083787720925,cdi_schubert
FMT1A,4.125974558283362,cdi_youngster
DA00375,3.253871486172416,cdi_schubert
FMT85,3.5252978866359443,cdi_youngster
DA00568,4.116740270280255,cdi_schubert
