,shannon,Dataset
FMT30,2.8540169351633455,cdi_youngster
DA10119,2.04913210779202,cdi_schubert
DA00904,3.4337830607640485,cdi_schubert
DA10093,3.8948886880098477,cdi_schubert
DA00578,4.609859505208331,cdi_schubert
DA10115,2.637551793556594,cdi_schubert
GSVY1IH03.MID6.pool3-6,2.6135033476589578,cdi_vincent_v3v5
DA10049,2.514865287672825,cdi_schubert
DA00850,0.4222009175274826,cdi_schubert
DA00962,3.2537356544017757,cdi_schubert
DA10002,2.916373005480713,cdi_schubert
FMT11,3.1342062728215105,cdi_youngster
DA10178,3.6045535319514808,cdi_schubert
DA10156,3.5267424301759513,cdi_schubert
DA10145,2.0762180625282136,cdi_schubert
DA01255,1.4468838741725452,cdi_schubert
DA01495,2.469317575066599,cdi_schubert
FMT5A,2.021974911933026,cdi_youngster
GSVY1IH02.MID3.pool2-3,4.3117341522231465,cdi_vincent_v3v5
DA00673,3.1889978655745943,cdi_schubert
DA01563,2.6155797124047324,cdi_schubert
DA10133,2.205978720426421,cdi_schubert
FMT03,3.220829083207292,cdi_youngster
DA10176,2.1378092427035575,cdi_schubert
FMT10A,1.1228000760752523,cdi_youngster
FMT29,3.940094500487226,cdi_youngster
DA01146,3.4548976971668903,cdi_schubert
DA10005,3.707096122575201,cdi_schubert
FMT04,2.360815706811621,cdi_youngster
DA10028,2.566492029384182,cdi_schubert
DA00779,3.1284678248054942,cdi_schubert
DA10146,2.3252854808413055,cdi_schubert
FMT56,2.2492698739338417,cdi_youngster
FMT21A,2.3668054952576263,cdi_youngster
FMT49,1.6066715880823816,cdi_youngster
DA10161,3.3233364875573295,cdi_schubert
DA00108,3.2099307278351326,cdi_schubert
DA00280,3.3984200009159387,cdi_schubert
DA01313,3.667920182127082,cdi_schubert
FMT20,3.521429006363014,cdi_youngster
GSVY1IH01.MID2.pool1-2,2.841626263434142,cdi_vincent_v3v5
DA00575,3.3050669149800593,cdi_schubert
FMT32,1.6604484775086121,cdi_youngster
DA10113,4.4194061703780925,cdi_schubert
DA10097,2.198333537157013,cdi_schubert
DA10152,2.3492932555722623,cdi_schubert
DA10160,4.375848529223203,cdi_schubert
DA00949,3.4171975804863957,cdi_schubert
GSVY1IH03.MID9.pool3-9,2.8691096012992263,cdi_vincent_v3v5
GSVY1IH03.MID12.pool3-12,2.942082756702728,cdi_vincent_v3v5
GSVY1IH03.MID3.pool3-3,3.738969976606101,cdi_vincent_v3v5
DA01242,2.5435420690530988,cdi_schubert
DA10092,2.4261312969103397,cdi_schubert
DA00153,3.2952349230058435,cdi_schubert
FMT35,3.439904312445987,cdi_youngster
DA10018,3.9858160818641584,cdi_schubert
FMT15A,3.424656438667251,cdi_youngster
FMT67,3.513045458871813,cdi_youngster
DA10019,3.4776998413373845,cdi_schubert
DA00861,2.6655171592936577,cdi_schubert
DA00431,2.752914321637001,cdi_schubert
GSVY1IH03.MID7.pool3-7,3.3023487019239632,cdi_vincent_v3v5
DA00886,3.369580832130494,cdi_schubert
GSVY1IH04.MID6.pool4-6,3.583010551135913,cdi_vincent_v3v5
DA01441,2.5858331601114206,cdi_schubert
DA01005,2.344039805564172,cdi_schubert
FMT1A,3.64037133125036,cdi_youngster
DA00375,2.9477439295951475,cdi_schubert
FMT85,3.4415522061811092,cdi_youngster
DA00568,4.110421811045993,cdi_schubert
DA00926,2.594999816445139,cdi_schubert
DA00268,3.6798612355283757,cdi_schubert
DA01501,3.0348433294219515,cdi_schubert
DA10040,2.272999562897163,cdi_schubert
DA00947,2.4305556229875855,cdi_schubert
DA01210,2.8569470944843256,cdi_schubert
DA00346,3.1502569270684115,cdi_schubert
FMT53,3.594898133454166,cdi_youngster
FMT31,3.29026233395177,cdi_youngster
DA00282,2.6694186088647767,cdi_schubert
DA10067,3.745110013234514,cdi_schubert
FMT37,0.2419164486364325,cdi_youngster
FMT84,3.4432163794016066,cdi_youngster
