,shannon,Dataset
FMT23,3.330144912578345,cdi_youngster
DA01381,3.543360790323633,cdi_schubert
FMT3A,3.5812448002860466,cdi_youngster
DA10173,2.870709565006588,cdi_schubert
DA10123,2.6423116013075734,cdi_schubert
DA10006,3.053438865981495,cdi_schubert
DA10011,3.6021968587547506,cdi_schubert
DA00331,2.484925806140503,cdi_schubert
DA01324,2.67758318135611,cdi_schubert
DA01547,3.493474830898037,cdi_schubert
DA10113,2.89966924352347,cdi_schubert
FMT04,3.275715986375775,cdi_youngster
FMT72,1.8209745325946467,cdi_youngster
FMT85,3.6460823550997854,cdi_youngster
FMT10,1.4938688007622811,cdi_youngster
DA00997,2.094665462793578,cdi_schubert
DA10059,3.6461942715244438,cdi_schubert
DA01441,3.1944352051692646,cdi_schubert
FMT101,1.8790533865926455,cdi_youngster
DA10042,2.403121043107287,cdi_schubert
DA10184,2.337499459830099,cdi_schubert
DA01563,1.7270041224120454,cdi_schubert
DA10035,3.0001633982311335,cdi_schubert
DA01167,0.5983173952198297,cdi_schubert
FMT13A,3.500234817943558,cdi_youngster
DA01205,2.2986603619605845,cdi_schubert
FMT30,2.831990805944866,cdi_youngster
FMT4A,3.5786085679367563,cdi_youngster
FMT20,2.4204222231202612,cdi_youngster
DA00375,0.07340775774447021,cdi_schubert
FMT103,2.1389601524619204,cdi_youngster
DA00065,1.5761457319636645,cdi_schubert
DA10142,2.8431681583031287,cdi_schubert
FMT97,1.9335682101904226,cdi_youngster
GSVY1IH04.MID6.pool4-6,1.3491466726277181,cdi_vincent_v3v5
GSVY1IH04.MID8.pool4-8,2.743357536956549,cdi_vincent_v3v5
GSVY1IH04.MID9.pool4-9,3.4165557901796952,cdi_vincent_v3v5
FMT12A,3.901313912302896,cdi_youngster
DA10048,2.856603094366804,cdi_schubert
FMT81,3.1948839008407055,cdi_youngster
GG349S007.MID13.1327,1.487006106786571,cdi_vincent_v3v5
DA01384,2.3111076178896512,cdi_schubert
DA10061,1.6110031688507795,cdi_schubert
DA01203,3.440818249129219,cdi_schubert
FMT44,4.201286548785733,cdi_youngster
DA10112,2.3336354939224995,cdi_schubert
DA01235,2.1008556955575717,cdi_schubert
DA10158,3.416906077417913,cdi_schubert
DA10177,2.668244985958,cdi_schubert
GG349S001.MID13.1320,1.0561040617701931,cdi_vincent_v3v5
DA10136,3.046765877056045,cdi_schubert
DA10139,2.6803529674136994,cdi_schubert
DA10023,3.3830078286085294,cdi_schubert
DA10167,2.2093879848485383,cdi_schubert
FMT17A,2.661435605004389,cdi_youngster
DA10122,2.0077317024619132,cdi_schubert
FMT109,2.1761040444130586,cdi_youngster
DA01213,0.021577844889740353,cdi_schubert
DA10024,2.278189662943936,cdi_schubert
FMT108,2.2850164540512905,cdi_youngster
DA10094,3.0064638310114944,cdi_schubert
DA10032,3.049438702013881,cdi_schubert
FMT95,2.290705483250889,cdi_youngster
DA01227,1.1681088058206783,cdi_schubert
FMT23A,3.4329816548094563,cdi_youngster
DA00673,2.3166480473905726,cdi_schubert
DA01555,2.118412259471581,cdi_schubert
FMT102,2.959823757329876,cdi_youngster
DA01267,2.4705311838091006,cdi_schubert
DA10170,1.9013363261646277,cdi_schubert
DA01311,2.1891609369294813,cdi_schubert
