,shannon,Dataset
FMT23,6.4059237475575035,cdi_youngster
DA01381,6.527294097982201,cdi_schubert
FMT3A,6.489591048560358,cdi_youngster
DA10173,6.53977307726457,cdi_schubert
DA10123,6.5081747143711395,cdi_schubert
DA10006,6.51292276486051,cdi_schubert
DA10011,6.531052369553766,cdi_schubert
DA00331,6.540634873086664,cdi_schubert
DA01324,6.516028326033892,cdi_schubert
DA01547,6.509078707606584,cdi_schubert
DA10113,6.51065779703968,cdi_schubert
FMT04,6.54762425245179,cdi_youngster
FMT72,6.504929418206058,cdi_youngster
FMT85,6.511292782631203,cdi_youngster
FMT10,6.514565576347269,cdi_youngster
DA00997,6.499105305256517,cdi_schubert
DA10059,6.538102172514225,cdi_schubert
DA01441,6.533615242618968,cdi_schubert
FMT101,6.420925936702148,cdi_youngster
DA10042,6.498677609555977,cdi_schubert
DA10184,6.484198435258895,cdi_schubert
DA01563,6.542831357787763,cdi_schubert
DA10035,6.526675151682141,cdi_schubert
DA01167,6.531324699134991,cdi_schubert
FMT13A,6.516265703256641,cdi_youngster
DA01205,6.540038933984926,cdi_schubert
FMT30,6.462976164243353,cdi_youngster
FMT4A,6.535313732767962,cdi_youngster
FMT20,6.5365497565023265,cdi_youngster
DA00375,6.550221598316845,cdi_schubert
FMT103,6.4895608172839685,cdi_youngster
DA00065,6.521559629390173,cdi_schubert
DA10142,6.507615307983533,cdi_schubert
FMT97,6.496263167859762,cdi_youngster
GSVY1IH04.MID6.pool4-6,6.524314801363838,cdi_vincent_v3v5
GSVY1IH04.MID8.pool4-8,6.544117295655734,cdi_vincent_v3v5
GSVY1IH04.MID9.pool4-9,6.532317372570797,cdi_vincent_v3v5
FMT12A,6.516803481410527,cdi_youngster
DA10048,6.506326728369703,cdi_schubert
FMT81,6.454708337458793,cdi_youngster
GG349S007.MID13.1327,6.466378847561842,cdi_vincent_v3v5
DA01384,6.517480361825033,cdi_schubert
DA10061,6.501756983011712,cdi_schubert
