,shannon,Dataset
FMT30,6.791934487988371,cdi_youngster
DA10119,6.735831531849938,cdi_schubert
DA00904,6.719417517130087,cdi_schubert
DA10093,6.520421371083723,cdi_schubert
DA00578,6.70393772912719,cdi_schubert
DA10115,6.634812408997188,cdi_schubert
GSVY1IH03.MID6.pool3-6,6.690130918828086,cdi_vincent_v3v5
DA10049,6.533171499425924,cdi_schubert
DA00850,6.585966108572723,cdi_schubert
DA00962,6.7517407267066645,cdi_schubert
DA10002,6.802677314027354,cdi_schubert
FMT11,6.777808702628429,cdi_youngster
DA10178,6.800947619831899,cdi_schubert
DA10156,6.765979534307336,cdi_schubert
DA10145,6.736489057012669,cdi_schubert
DA01255,6.690266561388177,cdi_schubert
DA01495,6.732674914169293,cdi_schubert
FMT5A,6.757713334540225,cdi_youngster
GSVY1IH02.MID3.pool2-3,6.726483924528376,cdi_vincent_v3v5
DA00673,6.825139807100706,cdi_schubert
DA01563,6.529383108925264,cdi_schubert
DA10133,6.764435006776486,cdi_schubert
FMT03,6.747092020989523,cdi_youngster
DA10176,6.714415326252456,cdi_schubert
FMT10A,6.749514357510372,cdi_youngster
FMT29,6.566079343332306,cdi_youngster
DA01146,6.796154768324973,cdi_schubert
DA10005,6.717609852095346,cdi_schubert
FMT04,6.630870079132162,cdi_youngster
DA10028,6.666573662651,cdi_schubert
DA00779,6.6568474377127815,cdi_schubert
DA10146,6.684015619384763,cdi_schubert
FMT56,6.708937809562602,cdi_youngster
FMT21A,6.745737745038632,cdi_youngster
FMT49,6.674837534310829,cdi_youngster
DA10161,6.665172497600987,cdi_schubert
DA00108,6.675379806207455,cdi_schubert
DA00280,6.67112747270648,cdi_schubert
DA01313,6.682448536763139,cdi_schubert
FMT20,6.766759636666112,cdi_youngster
GSVY1IH01.MID2.pool1-2,6.713126195906582,cdi_vincent_v3v5
DA00575,6.7513715002793555,cdi_schubert
FMT32,6.677335601764268,cdi_youngster
DA10113,6.68943331774316,cdi_schubert
DA10097,6.692272860399647,cdi_schubert
DA10152,6.651068996437229,cdi_schubert
DA10160,6.627382486864708,cdi_schubert
DA00949,6.791811469804953,cdi_schubert
GSVY1IH03.MID9.pool3-9,6.5641705678641005,cdi_vincent_v3v5
GSVY1IH03.MID12.pool3-12,6.776882137073826,cdi_vincent_v3v5
GSVY1IH03.MID3.pool3-3,6.52823565769046,cdi_vincent_v3v5
DA01242,6.632672377383337,cdi_schubert
DA10092,6.697578123737389,cdi_schubert
DA00153,6.6783567050788895,cdi_schubert
FMT35,6.691412564254156,cdi_youngster
DA10018,6.79618508128939,cdi_schubert
FMT15A,6.733991442355008,cdi_youngster
FMT67,6.7249146924939796,cdi_youngster
DA10019,6.78108762675777,cdi_schubert
DA00861,6.797579058015096,cdi_schubert
DA00431,6.7214320574622075,cdi_schubert
GSVY1IH03.MID7.pool3-7,6.756681760047745,cdi_vincent_v3v5
DA00886,6.679402975095871,cdi_schubert
GSVY1IH04.MID6.pool4-6,6.72502252208431,cdi_vincent_v3v5
DA01441,6.741499671252907,cdi_schubert
DA01005,6.796815622903198,cdi_schubert
FMT1A,6.5057037815686884,cdi_youngster
DA00375,6.813469894212121,cdi_schubert
FMT85,6.681701838893297,cdi_youngster
DA00568,6.6663890164391155,cdi_schubert
DA00926,6.626044271878428,cdi_schubert
DA00268,6.741437547493358,cdi_schubert
DA01501,6.758287114713278,cdi_schubert
DA10040,6.731348190557923,cdi_schubert
DA00947,6.79420730760316,cdi_schubert
DA01210,6.648763857126831,cdi_schubert
DA00346,6.707722853403831,cdi_schubert
FMT53,6.7330816905710575,cdi_youngster
FMT31,6.70876305726051,cdi_youngster
DA00282,6.7021053322369815,cdi_schubert
DA10067,6.730283611662857,cdi_schubert
FMT37,6.570787850266011,cdi_youngster
FMT84,6.781682002211618,cdi_youngster
DA10007,6.731553693199937,cdi_schubert
FMT14,6.750805319592202,cdi_youngster
FMT14A,6.738471697617479,cdi_youngster
GSVY1IH01.MID12.pool1-12,6.705917208003395,cdi_vincent_v3v5
DA10034,6.810146609273157,cdi_schubert
DA10131,6.763799696984204,cdi_schubert
DA00283,6.626572397512792,cdi_schubert
DA00006,6.633592562621356,cdi_schubert
DA10106,6.681454337387582,cdi_schubert
DA10056,6.762465686289827,cdi_schubert
DA10187,6.71538436627618,cdi_schubert
FMT95,6.754815049531311,cdi_youngster
DA10101,6.6639435601474615,cdi_schubert
DA10124,6.794508620403882,cdi_schubert
DA01186,6.718567378690356,cdi_schubert
FMT20A,6.71552490551529,cdi_youngster
DA00369,6.68750611144147,cdi_schubert
DA00065,6.7836096223303715,cdi_schubert
FMT13,6.716614852054629,cdi_youngster
DA10094,6.7547503951943675,cdi_schubert
DA10182,6.734049917360493,cdi_schubert
DA10047,6.722819045986507,cdi_schubert
FMT05,6.6162210537464805,cdi_youngster
DA10033,6.835510080533147,cdi_schubert
DA10009,6.569576462178841,cdi_schubert
DA10091,6.737548804043147,cdi_schubert
DA00339,6.6546420303535445,cdi_schubert
DA10136,6.7228934793765625,cdi_schubert
DA10181,6.78274728680204,cdi_schubert
DA00236,6.77412026092764,cdi_schubert
DA10085,6.762065855926489,cdi_schubert
DA00470,6.60699991990407,cdi_schubert
DA00755,6.715616054073694,cdi_schubert
DA01068,6.661740036442318,cdi_schubert
FMT17A,6.770909332422054,cdi_youngster
DA00691,6.722020781845957,cdi_schubert
DA00044,6.728294846683126,cdi_schubert
FMT16,6.684352607458349,cdi_youngster
DA00498,6.652479949025997,cdi_schubert
DA10027,6.65719394693019,cdi_schubert
DA01143,6.574221365188225,cdi_schubert
GSVY1IH04.MID3.pool4-3,6.73853535432458,cdi_vincent_v3v5
DA10104,6.683256736697871,cdi_schubert
DA01044,6.771054455144624,cdi_schubert
DA10112,6.7622516234542775,cdi_schubert
GG349S006.MID13.1326,6.581526548575545,cdi_vincent_v3v5
DA01380,6.796378220090489,cdi_schubert
DA00721,6.6492145798876825,cdi_schubert
DA00997,6.692463168262976,cdi_schubert
FMT74,6.705815057592803,cdi_youngster
DA01468,6.565590427489186,cdi_schubert
DA01370,6.798477961361595,cdi_schubert
DA01235,6.669023012413514,cdi_schubert
DA10171,6.745250297118345,cdi_schubert
GSVY1IH02.MID11.pool2-11,6.719387307701474,cdi_vincent_v3v5
DA10066,6.759638171175715,cdi_schubert
DA10159,6.68675600791672,cdi_schubert
DA10167,6.635380553023078,cdi_schubert
DA10037,6.724948759179631,cdi_schubert
GSVY1IH03.MID8.pool3-8,6.734391965040853,cdi_vincent_v3v5
DA10081,6.726603997020287,cdi_schubert
DA10016,6.785717216429245,cdi_schubert
DA00580,6.7606399320728485,cdi_schubert
