,shannon,Dataset
FMT82,2.905884194401644,cdi_youngster
DA10051,3.696961040753397,cdi_schubert
FMT77,3.892223809897388,cdi_youngster
FMT13,4.463048987734533,cdi_youngster
DA10005,2.338292727514131,cdi_schubert
DA10022,3.940810500435457,cdi_schubert
DA10142,3.77209453465473,cdi_schubert
DA00818,2.7006682411779583,cdi_schubert
DA00810,2.776302422643914,cdi_schubert
DA01110,0.49733476535742555,cdi_schubert
DA01571,3.0934482847371054,cdi_schubert
GSVY1IH03.MID12.pool3-1,3.8823134840106603,cdi_vincent_v3v5
DA01381,2.7217725574487917,cdi_schubert
DA10083,2.2951330711443694,cdi_schubert
DA10094,3.5621273789331545,cdi_schubert
FMT99,2.4994973881912173,cdi_youngster
DA01213,0.05378341440418292,cdi_schubert
DA00988,0.13918498583032204,cdi_schubert
DA00678,3.4283737858083603,cdi_schubert
DA00299,2.5525661902369685,cdi_schubert
FMT27,4.49827489924394,cdi_youngster
FMT32,3.585234966339301,cdi_youngster
FMT1A,2.3404141532816594,cdi_youngster
DA01267,2.1899091180573143,cdi_schubert
DA10002,3.117703713539283,cdi_schubert
GSVY1IH04.MID3.pool4-3,1.4613848391520625,cdi_vincent_v3v5
DA00280,2.2885458922611495,cdi_schubert
DA10032,3.323469956982448,cdi_schubert
GG349S008.MID13.1328,3.6680448957306733,cdi_vincent_v3v5
GG349S007.MID13.1327,2.235754791810479,cdi_vincent_v3v5
DA10030,2.284195867124316,cdi_schubert
FMT10,1.6919137559896,cdi_youngster
DA10150,2.9040977122356355,cdi_schubert
FMT41,2.2724744412750635,cdi_youngster
DA10006,3.6358000617725748,cdi_schubert
DA10061,2.175226114964131,cdi_schubert
DA10049,3.897824514992649,cdi_schubert
DA10116,2.9181342829730843,cdi_schubert
GSVY1IH01.MID3.pool1-3,2.9172926404270374,cdi_vincent_v3v5
DA00282,2.7435090553796764,cdi_schubert
DA10137,2.623302507696203,cdi_schubert
DA10104,2.5875499022674333,cdi_schubert
FMT3A,4.051247884126448,cdi_youngster
DA00381,2.808369982076559,cdi_schubert
DA01547,3.844074751037666,cdi_schubert
GSVY1IH02.MID2.pool2-2,3.8248464583978032,cdi_vincent_v3v5
DA00339,0.32972502238881524,cdi_schubert
DA01563,2.265210890459575,cdi_schubert
DA10173,3.5360642948330643,cdi_schubert
DA01005,1.6105511617827215,cdi_schubert
DA01205,2.6524007208327904,cdi_schubert
DA00897,0.014768745607238624,cdi_schubert
DA10122,2.6975626110165667,cdi_schubert
GSVY1IH02.MID11.pool2-11,2.5839039024428874,cdi_vincent_v3v5
DA10007,3.8832038230372783,cdi_schubert
DA10114,3.272548936684958,cdi_schubert
FMT20,0.9196629984764569,cdi_youngster
FMT12A,4.223133786826974,cdi_youngster
FMT43,4.116386579219398,cdi_youngster
DA10156,4.040959946715611,cdi_schubert
GSVY1IH01.MID2.pool1-2,3.423285817961445,cdi_vincent_v3v5
GSVY1IH03.MID12.pool3-12,3.677467422892671,cdi_vincent_v3v5
DA01203,3.518931037522427,cdi_schubert
DA01255,3.9695101997707685,cdi_schubert
FMT25,3.4186561309569843,cdi_youngster
DA10082,3.8806358636555616,cdi_schubert
FMT5A,2.115621793810181,cdi_youngster
DA01210,2.27495649217084,cdi_schubert
DA10115,2.8329538069267346,cdi_schubert
DA10127,1.7433706294029376,cdi_schubert
DA00962,2.855344777490944,cdi_schubert
GSVY1IH01.MID10.pool1-10,3.708046110120151,cdi_vincent_v3v5
DA10003,3.4537869742956504,cdi_schubert
DA00754,0.37949918733149124,cdi_schubert
DA10090,4.068576724242801,cdi_schubert
DA10164,2.528380298671629,cdi_schubert
FMT84,3.9766063729146075,cdi_youngster
DA10177,3.511718721796909,cdi_schubert
