,combat_seq,ConQuR,ConQuR_libsize,harmony,limma,MMUPHin,nobc,percentile_norm,sum
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,1,1,1,1,1,1,1,0,7
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella,1,1,1,1,1,1,1,0,7
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__,1,1,1,1,1,1,1,0,7
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides,1,1,1,1,1,1,1,0,7
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__,1,1,1,1,1,1,1,0,7
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Hespellia,1,1,1,1,1,1,1,0,7
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium_XlVb,1,1,1,1,1,1,1,0,7
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,1,1,1,1,1,1,1,0,7
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea,1,1,1,1,1,1,1,0,7
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Sporobacter,1,1,1,1,1,1,1,0,7
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__;g__,1,1,1,1,1,1,1,0,7
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter,1,1,1,1,1,1,1,0,7
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus,1,1,1,1,1,1,1,0,7
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Clostridium_XI,1,1,1,1,1,1,1,0,7
k__Bacteria;p__;c__;o__;f__;g__,1,1,1,1,1,1,1,0,7
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella,1,1,1,1,1,1,1,0,7
k__Bacteria;p__Firmicutes;c__Clostridia;o__;f__;g__,1,1,1,1,1,1,1,0,7
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella,1,1,1,1,1,1,1,0,7
