,shannon,study_name
SAMD00164717,8.890622246175571,YachidaS_2019
SAMD00164924,8.940341492340217,YachidaS_2019
SID31333,8.991459523739739,FengQ_2015
LILT_VF30_16,8.91284155866105,ThomasAM_2018a
SAMD00164827,8.944122423609079,YachidaS_2019
SAMD00114928,8.96381200728364,YachidaS_2019
SAMD00164748,9.004788855320422,YachidaS_2019
MG100178,8.929665609794895,HanniganGD_2017
CCIS13047523ST-4-0,8.962524138177095,ZellerG_2014
SAMD00164758,8.875511541561234,YachidaS_2019
SAMD00164927,8.997573832067273,YachidaS_2019
LILT_VF32_T016,8.922528651628115,ThomasAM_2018a
SAMD00164891,8.95917242048999,YachidaS_2019
SAMD00114988,8.93646077770309,YachidaS_2019
SAMD00164773,8.909045547231921,YachidaS_2019
SAMD00114926,8.90661355622666,YachidaS_2019
MG100191,9.029504520933786,HanniganGD_2017
CCIS81735969ST-20-0,8.903252179893107,ZellerG_2014
CCIS11019776ST-4-0,8.885387289359352,ZellerG_2014
SAMD00114962,8.958423950648967,YachidaS_2019
SAMD00164849,8.856534846962571,YachidaS_2019
SAMD00164953,8.98504209046694,YachidaS_2019
CCIS55531770ST-4-0,8.942465165159373,ZellerG_2014
SAMD00165008,8.902911089040277,YachidaS_2019
MG100181,9.006341852121237,HanniganGD_2017
SAMD00165015,8.909849986675718,YachidaS_2019
CCIS88317640ST-4-0,8.866028682603055,ZellerG_2014
SAMD00164755,8.86389128432196,YachidaS_2019
CCIS07277498ST-4-0,8.939393616453273,ZellerG_2014
CCIS03473770ST-4-0,8.865117040102147,ZellerG_2014
CCIS63468405ST-4-0,8.92137299873787,ZellerG_2014
SAMD00164926,9.005537370699033,YachidaS_2019
SAMD00114937,8.965482717833988,YachidaS_2019
SAMD00114947,8.943733482660484,YachidaS_2019
SAMD00114895,8.883183722713454,YachidaS_2019
LILT_VF140_T016,8.979940163815153,ThomasAM_2018a
SAMD00114757,8.937449697855612,YachidaS_2019
SAMD00164855,8.877813308939862,YachidaS_2019
SAMD00114821,8.89909844585183,YachidaS_2019
SAMD00115015,8.943978263431156,YachidaS_2019
SAMD00114751,8.916180009809636,YachidaS_2019
SAMD00114987,8.966161570764992,YachidaS_2019
SAMD00115024,8.954171713960525,YachidaS_2019
SAMD00114773,8.912965803752941,YachidaS_2019
CCIS20795251ST-4-0,8.924751232008404,ZellerG_2014
SAMD00114890,8.964392214472626,YachidaS_2019
LILT_VF18_T016,8.993914033227501,ThomasAM_2018a
SAMD00114997,8.968620702156041,YachidaS_2019
CCIS95097901ST-4-0,8.942260363374963,ZellerG_2014
SAMD00114853,8.987317991579115,YachidaS_2019
CCIS82944710ST-20-0,8.96568871754066,ZellerG_2014
SAMD00114940,8.980694741025376,YachidaS_2019
MG100201,8.982451393066375,HanniganGD_2017
SAMD00114769,8.929739358167755,YachidaS_2019
CCIS83445808ST-4-0,8.877974947857433,ZellerG_2014
SID530142,8.907800604803205,FengQ_2015
SAMD00165001,8.910671816383255,YachidaS_2019
SAMD00164930,8.891452697216058,YachidaS_2019
CCIS48579360ST-4-0,8.91797724495554,ZellerG_2014
CCIS22906510ST-20-0,8.88669897770122,ZellerG_2014
CCIS16383318ST-4-0,8.826104512111087,ZellerG_2014
MG100190,9.032822658776606,HanniganGD_2017
SAMD00114798,9.013384432635664,YachidaS_2019
LILT_VF50_16,8.992336554231544,ThomasAM_2018a
SAMD00114843,8.86037948372787,YachidaS_2019
SAMD00164760,8.925555488513618,YachidaS_2019
CCIS41806458ST-4-0,8.92940967099593,ZellerG_2014
LILT_VF70_16,8.985830923358398,ThomasAM_2018a
SAMD00164929,8.88568118961357,YachidaS_2019
MG100174,9.007985914296176,HanniganGD_2017
SAMD00114950,8.918020400920287,YachidaS_2019
SAMD00114845,8.853039340047417,YachidaS_2019
SID530258,8.946392369371594,FengQ_2015
LILT_VF259_T016,8.961240668268681,ThomasAM_2018a
SAMD00114780,8.915565880689075,YachidaS_2019
SAMD00164819,8.880158554622149,YachidaS_2019
SAMD00114867,8.958623489896846,YachidaS_2019
SAMD00114994,9.018485994204772,YachidaS_2019
SAMD00165020,8.949423660732426,YachidaS_2019
SAMD00164887,8.90296769670478,YachidaS_2019
CCIS54027808ST-4-0,8.88459230545644,ZellerG_2014
SAMD00114730,8.933148058631794,YachidaS_2019
MG100198,8.99704319363271,HanniganGD_2017
SAMD00114985,8.91291607958703,YachidaS_2019
SAMD00165024,8.98818470145586,YachidaS_2019
CCIS10793554ST-4-0,8.917971154401625,ZellerG_2014
MG100180,8.964649301489642,HanniganGD_2017
SAMD00114745,8.914615033467888,YachidaS_2019
SAMD00114855,9.010781694457837,YachidaS_2019
SAMD00115005,9.008798622746205,YachidaS_2019
SAMD00154992,8.998921324857136,YachidaS_2019
SID530172,9.005720255025302,FengQ_2015
CCIS50471204ST-4-0,8.873794388939812,ZellerG_2014
SAMD00115009,8.90604133370034,YachidaS_2019
SID530450,8.905263997491598,FengQ_2015
SAMD00164951,8.9700456006168,YachidaS_2019
SAMD00164804,8.876633243050989,YachidaS_2019
MG100193,9.011295253736622,HanniganGD_2017
SAMD00114906,8.943601833786927,YachidaS_2019
SAMD00114812,8.834871509183907,YachidaS_2019
MG100185,8.95103933786541,HanniganGD_2017
LILT_VF263_T016,8.905153033944373,ThomasAM_2018a
MG100163,9.080815360193172,HanniganGD_2017
SAMD00164824,8.922323288542998,YachidaS_2019
SAMD00164914,8.921173520019687,YachidaS_2019
CCIS83574003ST-4-0,8.967472149607293,ZellerG_2014
SAMD00114898,8.895491467828329,YachidaS_2019
