,shannon,study_name
SAMD00164717,8.901451266485386,YachidaS_2019
SAMD00164924,8.884456846148945,YachidaS_2019
SID31333,8.900712057414895,FengQ_2015
LILT_VF30_16,8.89236100659306,ThomasAM_2018a
SAMD00164827,8.907732093967283,YachidaS_2019
SAMD00114928,8.873515974885864,YachidaS_2019
SAMD00164748,8.864521432413119,YachidaS_2019
MG100178,8.865226989813301,HanniganGD_2017
CCIS13047523ST-4-0,8.90022530030245,ZellerG_2014
SAMD00164758,8.880631764843121,YachidaS_2019
SAMD00164927,8.895403934413872,YachidaS_2019
LILT_VF32_T016,8.902263187325191,ThomasAM_2018a
SAMD00164891,8.890504265307102,YachidaS_2019
SAMD00114988,8.894325312654136,YachidaS_2019
SAMD00164773,8.918571024048187,YachidaS_2019
SAMD00114926,8.897882598266952,YachidaS_2019
MG100191,8.846769639900119,HanniganGD_2017
CCIS81735969ST-20-0,8.92386129727038,ZellerG_2014
CCIS11019776ST-4-0,8.919473950852794,ZellerG_2014
SAMD00114962,8.874405276033002,YachidaS_2019
SAMD00164849,8.928183770272277,YachidaS_2019
SAMD00164953,8.875469264053065,YachidaS_2019
CCIS55531770ST-4-0,8.91637644467999,ZellerG_2014
SAMD00165008,8.909361093697827,YachidaS_2019
MG100181,8.879005537620976,HanniganGD_2017
SAMD00165015,8.897862869176828,YachidaS_2019
CCIS88317640ST-4-0,8.940267330589313,ZellerG_2014
SAMD00164755,8.915957623322775,YachidaS_2019
CCIS07277498ST-4-0,8.890922373199263,ZellerG_2014
CCIS03473770ST-4-0,8.901331491772327,ZellerG_2014
CCIS63468405ST-4-0,8.938483140649529,ZellerG_2014
SAMD00164926,8.850124607339344,YachidaS_2019
SAMD00114937,8.862010175413369,YachidaS_2019
SAMD00114947,8.879005480932197,YachidaS_2019
SAMD00114895,8.920813324170371,YachidaS_2019
LILT_VF140_T016,8.897342469765178,ThomasAM_2018a
SAMD00114757,8.88369257326168,YachidaS_2019
SAMD00164855,8.903684749764505,YachidaS_2019
SAMD00114821,8.915220817309285,YachidaS_2019
SAMD00115015,8.913592517757728,YachidaS_2019
SAMD00114751,8.909860322067654,YachidaS_2019
SAMD00114987,8.863800471787158,YachidaS_2019
SAMD00115024,8.88505380918467,YachidaS_2019
SAMD00114773,8.933474627123674,YachidaS_2019
CCIS20795251ST-4-0,8.906021914010413,ZellerG_2014
SAMD00114890,8.939705364872697,YachidaS_2019
LILT_VF18_T016,8.881945208208103,ThomasAM_2018a
SAMD00114997,8.856140981367655,YachidaS_2019
CCIS95097901ST-4-0,8.91979218967612,ZellerG_2014
SAMD00114853,8.86708829604713,YachidaS_2019
CCIS82944710ST-20-0,8.878376426651695,ZellerG_2014
SAMD00114940,8.862187802306943,YachidaS_2019
MG100201,8.843694628841849,HanniganGD_2017
SAMD00114769,8.90207429434176,YachidaS_2019
CCIS83445808ST-4-0,8.94948668643486,ZellerG_2014
SID530142,8.899273957033158,FengQ_2015
SAMD00165001,8.909277257492047,YachidaS_2019
SAMD00164930,8.86861441503897,YachidaS_2019
CCIS48579360ST-4-0,8.91855824738041,ZellerG_2014
CCIS22906510ST-20-0,8.897930199805819,ZellerG_2014
CCIS16383318ST-4-0,8.927316496209839,ZellerG_2014
MG100190,8.879944096612327,HanniganGD_2017
SAMD00114798,8.881414530686357,YachidaS_2019
LILT_VF50_16,8.886124106037075,ThomasAM_2018a
SAMD00114843,8.931268517443284,YachidaS_2019
