,0
batches_shannon_pval,4.4851218399168655e-14
biovar_shannon_pval,9.172037567214481e-17
rf_baseline_likelihood,0.6803562592775854
rf_average_acc,0.7941613062840178
rf_macro_precision,0.8838637632607482
weighted_precision,0.8419719688110131
macro_recall,0.6780185758513932
weighted_recall,0.7941613062840178
macro_f1,0.6968590359325827
weighted_f1,0.7588095643921426
auc,0.6780185758513932
batch_aitch_r2,0.05182419442409312
batch_bray_r2,0.002144406000795106
batch_aitch_pval,0.001
batch_bray_pval,0.001
biovar_aitch_r2,0.016797639685434212
biovar_bray_r2,0.008249636432842869
biovar_aitch_pval,0.001
biovar_bray_pval,0.001
