,shannon,study_name
CSM7KOK3,3.5136080550926088,HMP_2019_ibdmdb
CSM79HJ2_P,2.711931054699403,HMP_2019_ibdmdb
O2_UC26_0,2.7818409144566782,NielsenHB_2014
HSM7CYX6,3.8962508944668386,HMP_2019_ibdmdb
HSM7CYXA,3.3997401278503188,HMP_2019_ibdmdb
O2.UC20-1,4.49011982032389,LiJ_2014
V1.UC59-0,3.4981437017917503,LiJ_2014
MSMA26BR,4.074070133556688,HMP_2019_ibdmdb
CSM79HNE,1.8005000281339574,HMP_2019_ibdmdb
V1_UC47_0,4.697865838838687,NielsenHB_2014
CSM7KOKL_P,3.7742815693492546,HMP_2019_ibdmdb
MSMA26AX,3.714297442959159,HMP_2019_ibdmdb
O2.UC43-1,2.541265892824246,LiJ_2014
CSM5MCUG_P,3.5753608130475336,HMP_2019_ibdmdb
HSM6XRQM,3.2476522154644285,HMP_2019_ibdmdb
V1_UC11_0,3.8784714839304906,NielsenHB_2014
MSM5LLI2_P,2.408671714709148,HMP_2019_ibdmdb
MSM9VZPH,3.481797032958655,HMP_2019_ibdmdb
CSM7KOKN,3.1180363222789604,HMP_2019_ibdmdb
ESM718UH,3.251599946095951,HMP_2019_ibdmdb
MSM79H7O,3.285734126571838,HMP_2019_ibdmdb
MSMAPC5Z,4.736039235288073,HMP_2019_ibdmdb
CSM5MCWM_P,2.538923460615432,HMP_2019_ibdmdb
HSM7J4LP,1.2350991047000894,HMP_2019_ibdmdb
CSM79HMN,3.9443210381274416,HMP_2019_ibdmdb
HSM5MD6O_P,3.0744150268786745,HMP_2019_ibdmdb
MSMA26AP,3.737485608162212,HMP_2019_ibdmdb
CSM79HKT,1.8604532677408683,HMP_2019_ibdmdb
O2.UC15-0,3.2107636213695026,LiJ_2014
CSM79HGD_P,4.0171332340354295,HMP_2019_ibdmdb
MSM79HCN_P,2.0665385496382878,HMP_2019_ibdmdb
MH0154,4.354946883412105,NielsenHB_2014
MSM5LLGD_P,2.7471548872489397,HMP_2019_ibdmdb
HSMA33KS,3.519232526334886,HMP_2019_ibdmdb
CSM79HRC,3.6179256425537942,HMP_2019_ibdmdb
MH0015,4.459407414086868,NielsenHB_2014
O2_UC49_0,4.0764550665047885,NielsenHB_2014
MSM79HBN,2.5243535639120376,HMP_2019_ibdmdb
HSM7J4PE,4.004233497748714,HMP_2019_ibdmdb
PSM7J1AS,3.0143958068305445,HMP_2019_ibdmdb
CSM9X21N,3.2648642977891575,HMP_2019_ibdmdb
HSM7J4OB,3.9608130729364,HMP_2019_ibdmdb
V1.CD4-0-PN,4.020847570071947,LiJ_2014
ESM5MEC9,2.5960445695922236,HMP_2019_ibdmdb
HSM5MD6C,4.097365670351326,HMP_2019_ibdmdb
HSM7J4JZ,3.297759305327809,HMP_2019_ibdmdb
MSM6J2LY,4.42056357020678,HMP_2019_ibdmdb
O2.UC8-0,4.381847087912184,LiJ_2014
CSM5MCUA_P,2.8787229029571,HMP_2019_ibdmdb
MH0125,4.600395867783238,NielsenHB_2014
MH0142,3.8936220423017325,NielsenHB_2014
MSM5LLF2_P,3.6052995005949136,HMP_2019_ibdmdb
HSM7J4J7,2.795131439849085,HMP_2019_ibdmdb
O2_UC19_0,2.491269567559163,NielsenHB_2014
PSM7J12R,1.8589433335413283,HMP_2019_ibdmdb
PSM7J18Q,3.396627391405938,HMP_2019_ibdmdb
CSM5MCV5_P,3.5373180472725685,HMP_2019_ibdmdb
CSM7KOMR_P,3.9155395131637416,HMP_2019_ibdmdb
CSM9X1XU,3.031886295639521,HMP_2019_ibdmdb
HSM7J4PY,3.4001186992672423,HMP_2019_ibdmdb
HSM7CZ14,1.5957577906858786,HMP_2019_ibdmdb
HSMA33IE,3.400957921818685,HMP_2019_ibdmdb
MH0062,4.525304486147382,NielsenHB_2014
CSM79HOH,3.3322016388306492,HMP_2019_ibdmdb
MSM6J2Q3,3.3164273043617842,HMP_2019_ibdmdb
MSM6J2QJ,3.578974261143122,HMP_2019_ibdmdb
MSM6J2QR,2.988354483313757,HMP_2019_ibdmdb
MH0030,3.962145621442215,NielsenHB_2014
MSM6J2HD,1.8835031328106073,HMP_2019_ibdmdb
MSM9VZNH,4.484163755928972,HMP_2019_ibdmdb
MSM6J2RS,1.0044316500614983,HMP_2019_ibdmdb
HSM5MD5P,3.2269133029704684,HMP_2019_ibdmdb
CSM9X222,3.768598086507163,HMP_2019_ibdmdb
MSM6J2IO,3.794698628700723,HMP_2019_ibdmdb
CSM79HIT,4.173288846752248,HMP_2019_ibdmdb
PSM6XBSI,3.441210142080824,HMP_2019_ibdmdb
CSM79HPK,1.789889845956984,HMP_2019_ibdmdb
O2_UC34_0,2.6292284395163237,NielsenHB_2014
V1_CD7_4,3.910814203370037,NielsenHB_2014
HSMA33PL,4.290603948799528,HMP_2019_ibdmdb
PSM7J19H,3.446496546065073,HMP_2019_ibdmdb
PSMA2675,3.247241170939718,HMP_2019_ibdmdb
PSM7J13E,3.9863931961149413,HMP_2019_ibdmdb
HSM6XRS8,2.258755827844425,HMP_2019_ibdmdb
MSMA26EJ,3.00480313018558,HMP_2019_ibdmdb
CSM67UAW,3.593211113469725,HMP_2019_ibdmdb
CSM7KOP8,3.9260789703992236,HMP_2019_ibdmdb
HSM7J4K6,3.520162753407412,HMP_2019_ibdmdb
O2_UC53_0,3.8023297087711754,NielsenHB_2014
CSM7KOJS,2.5216817439872115,HMP_2019_ibdmdb
MSM9VZM4_P,2.9224445395063285,HMP_2019_ibdmdb
HSM5MD82_P,3.695959336514914,HMP_2019_ibdmdb
HSMA33QM,4.094707339006554,HMP_2019_ibdmdb
MSM5LLIC_P,3.7553348902216404,HMP_2019_ibdmdb
MH0027,4.374408026064324,NielsenHB_2014
HSM7J4NY,3.8497750347341637,HMP_2019_ibdmdb
MH0159,4.323838892585601,NielsenHB_2014
MH0114,2.4175359273284243,NielsenHB_2014
ESM5GEZ6_P,4.333709552414801,HMP_2019_ibdmdb
HSM6XRVC,3.031484531350628,HMP_2019_ibdmdb
