,shannon,study_name
CSM7KOK3,2.3213108341093345,HMP_2019_ibdmdb
CSM79HJ2_P,2.3206288857761215,HMP_2019_ibdmdb
O2_UC26_0,2.225868487177935,NielsenHB_2014
HSM7CYX6,2.3183080636166165,HMP_2019_ibdmdb
HSM7CYXA,2.319315975149789,HMP_2019_ibdmdb
O2.UC20-1,2.253449140380185,LiJ_2014
V1.UC59-0,2.321465856142473,LiJ_2014
MSMA26BR,2.318068620006586,HMP_2019_ibdmdb
CSM79HNE,2.3210405001904495,HMP_2019_ibdmdb
V1_UC47_0,2.3216746520925504,NielsenHB_2014
CSM7KOKL_P,2.316489133582549,HMP_2019_ibdmdb
MSMA26AX,2.3207262775071578,HMP_2019_ibdmdb
O2.UC43-1,2.3212240048525885,LiJ_2014
CSM5MCUG_P,2.3087450422869598,HMP_2019_ibdmdb
HSM6XRQM,2.3211712626344547,HMP_2019_ibdmdb
V1_UC11_0,2.321721007288768,NielsenHB_2014
MSM5LLI2_P,2.32112136320357,HMP_2019_ibdmdb
MSM9VZPH,2.3166219731558577,HMP_2019_ibdmdb
CSM7KOKN,2.320239778275783,HMP_2019_ibdmdb
ESM718UH,2.3203012381088364,HMP_2019_ibdmdb
MSM79H7O,2.319571840901703,HMP_2019_ibdmdb
MSMAPC5Z,0.9206363970678347,HMP_2019_ibdmdb
CSM5MCWM_P,2.3211478100122225,HMP_2019_ibdmdb
HSM7J4LP,2.3212605657667327,HMP_2019_ibdmdb
CSM79HMN,2.3158978425065286,HMP_2019_ibdmdb
HSM5MD6O_P,2.3205041612160895,HMP_2019_ibdmdb
MSMA26AP,2.3059538788722467,HMP_2019_ibdmdb
CSM79HKT,2.3212066959510302,HMP_2019_ibdmdb
O2.UC15-0,2.321531420053594,LiJ_2014
CSM79HGD_P,2.3207856353331113,HMP_2019_ibdmdb
MSM79HCN_P,2.3211073305243666,HMP_2019_ibdmdb
MH0154,2.2631496665091593,NielsenHB_2014
MSM5LLGD_P,2.3207823768558775,HMP_2019_ibdmdb
HSMA33KS,2.3190079962568895,HMP_2019_ibdmdb
CSM79HRC,2.3199694057314053,HMP_2019_ibdmdb
MH0015,2.320898392631793,NielsenHB_2014
O2_UC49_0,2.3209483069696386,NielsenHB_2014
MSM79HBN,2.3212838833079688,HMP_2019_ibdmdb
HSM7J4PE,2.3169935844547083,HMP_2019_ibdmdb
PSM7J1AS,2.321043162639418,HMP_2019_ibdmdb
CSM9X21N,2.320597509765693,HMP_2019_ibdmdb
HSM7J4OB,2.3177039396963743,HMP_2019_ibdmdb
V1.CD4-0-PN,2.237263029004036,LiJ_2014
ESM5MEC9,2.321444343878132,HMP_2019_ibdmdb
HSM5MD6C,2.319786013476794,HMP_2019_ibdmdb
HSM7J4JZ,2.321343422798186,HMP_2019_ibdmdb
MSM6J2LY,2.3067378128563396,HMP_2019_ibdmdb
O2.UC8-0,2.265238826550308,LiJ_2014
