,shannon,study_name
CSM7KOQ5_P,1.8861905235909382,HMP_2019_ibdmdb
MSMAPC64,4.988505836061884,HMP_2019_ibdmdb
MSM9VZLP,4.7067799835880395,HMP_2019_ibdmdb
V1.CD20-0,4.133762793339173,LiJ_2014
HSMA33KU,3.631595538202471,HMP_2019_ibdmdb
HSM7J4MS,3.4527474232673008,HMP_2019_ibdmdb
CSM7KON2,3.8714012616793765,HMP_2019_ibdmdb
HSM7CYZ7,2.731025564356373,HMP_2019_ibdmdb
PSM7J158,4.067660787446936,HMP_2019_ibdmdb
HSMA33IO,-0.0,HMP_2019_ibdmdb
MSM6J2OL,1.6258610355580032,HMP_2019_ibdmdb
MSM79H9M,3.8593723782810816,HMP_2019_ibdmdb
PSM6XBTZ_P,3.198377398248915,HMP_2019_ibdmdb
CSM79HR4,1.9617473432018193,HMP_2019_ibdmdb
CSM9X1YV,3.37489944316105,HMP_2019_ibdmdb
HSM5MD44_P,3.6451284762988534,HMP_2019_ibdmdb
O2.UC5-1,4.32293040353554,LiJ_2014
HSM7J4KM,3.2116225641773872,HMP_2019_ibdmdb
HSM5MD71,3.595525808449993,HMP_2019_ibdmdb
CSM5MCU8_P,3.9684507941191454,HMP_2019_ibdmdb
MSM6J2K6,2.567158316002491,HMP_2019_ibdmdb
CSM7CZ2F_P,3.6856737873640446,HMP_2019_ibdmdb
MSMA26BN,3.8628517007482097,HMP_2019_ibdmdb
PSMA265T,3.5346350969962868,HMP_2019_ibdmdb
MSM5LLGR_P,3.1885920627756934,HMP_2019_ibdmdb
CSM9X22K,3.7861141839968084,HMP_2019_ibdmdb
CSM79HOX,3.925478400656413,HMP_2019_ibdmdb
HSM7CYXQ,3.509544774941949,HMP_2019_ibdmdb
HSM7J4JV_P,1.9802526941124772,HMP_2019_ibdmdb
PSM7J143_P,3.124311897265952,HMP_2019_ibdmdb
HSM6XRT2_P,3.5740290360377798,HMP_2019_ibdmdb
ESM7F5CD,3.1466725789783734,HMP_2019_ibdmdb
MSM6J2MF,3.475158008534839,HMP_2019_ibdmdb
HSMA33IG,3.420890768334871,HMP_2019_ibdmdb
HSM6XRRB,1.2059326427460033,HMP_2019_ibdmdb
MSM9VZIO,3.6106623766168076,HMP_2019_ibdmdb
CSM79HGF_P,4.0718750696350385,HMP_2019_ibdmdb
PSMA265L,3.777790903980213,HMP_2019_ibdmdb
CSM67U9T_P,2.952428892767897,HMP_2019_ibdmdb
CSM7KOKJ,2.5986157709841717,HMP_2019_ibdmdb
HSM6XRTE_P,4.255038423212976,HMP_2019_ibdmdb
PSMA2671,2.7895737500768716,HMP_2019_ibdmdb
CSM79HP4,4.015884316414268,HMP_2019_ibdmdb
HSM67VGK_TR,2.1926070412586216,HMP_2019_ibdmdb
MSM79H54,3.343666371353577,HMP_2019_ibdmdb
O2.UC27-1,3.9883398986903402,LiJ_2014
MSM79H58,3.7003366308788044,HMP_2019_ibdmdb
MSM79H7C,3.620029020115808,HMP_2019_ibdmdb
PSM6XBQY,3.8080768646922203,HMP_2019_ibdmdb
CSM79HGP,2.655446253820388,HMP_2019_ibdmdb
MSM79HC8,3.16635466044234,HMP_2019_ibdmdb
MSM79HF9_TR,4.893488636625496,HMP_2019_ibdmdb
PSM6XBSM,3.930055066463823,HMP_2019_ibdmdb
HSM5FZC2_P,2.1574286458837886,HMP_2019_ibdmdb
HSM5MD7S,1.8884550419150221,HMP_2019_ibdmdb
HSM67VEC,1.2589726034788296,HMP_2019_ibdmdb
MSM6J2QJ,3.556423835376039,HMP_2019_ibdmdb
HSM6XRT4_P,3.609385106795655,HMP_2019_ibdmdb
MSM79H5G,4.121894070325315,HMP_2019_ibdmdb
HSM5MD4W_P,1.0101753636138262,HMP_2019_ibdmdb
CSM7KOLA,3.990905558425671,HMP_2019_ibdmdb
HSMA33OJ,3.302609818106069,HMP_2019_ibdmdb
CSM5MCYM_P,4.0832267443836345,HMP_2019_ibdmdb
CSM5FZ4A_P,2.5600979534966695,HMP_2019_ibdmdb
HSM5MD43_P,3.1134650704882207,HMP_2019_ibdmdb
CSM5MCVJ_P,1.5618072581849096,HMP_2019_ibdmdb
PSM7J141,3.1383363324882265,HMP_2019_ibdmdb
CSM9X22I,3.875057740905205,HMP_2019_ibdmdb
CSM7KOQZ_P,3.433292029025689,HMP_2019_ibdmdb
CSM7KOLM,3.3799365878414074,HMP_2019_ibdmdb
MSM9VZIY,3.0750053047350723,HMP_2019_ibdmdb
HSM7CYY7,2.955276714539766,HMP_2019_ibdmdb
