,shannon,study_name
PSM6XBTP,9.060798127699167,HMP_2019_ibdmdb
V1.UC39-4,9.074042292538552,LiJ_2014
HSMA33R7,9.055756859538413,HMP_2019_ibdmdb
HSM7CYXA,9.078212162199844,HMP_2019_ibdmdb
MSM6J2LB,9.054383566454238,HMP_2019_ibdmdb
HSM7J4GR,9.040558883689346,HMP_2019_ibdmdb
PSM6XBSU,9.078359691178987,HMP_2019_ibdmdb
HSM6XRQY,9.048740227551388,HMP_2019_ibdmdb
HSMA33OL,9.041527966868703,HMP_2019_ibdmdb
ESM718SY,9.051781343828681,HMP_2019_ibdmdb
HSM7CYZL,9.07254248450193,HMP_2019_ibdmdb
MSM6J2PW,9.05156413432663,HMP_2019_ibdmdb
MSM9VZLJ,9.05155952801931,HMP_2019_ibdmdb
MSM79HBR,9.062362931975526,HMP_2019_ibdmdb
CSM79HHW,9.089921386948712,HMP_2019_ibdmdb
CSM5MCYI_P,9.072341513746519,HMP_2019_ibdmdb
CSM9X222,9.097875360877588,HMP_2019_ibdmdb
MSM79HAN,9.059698766850914,HMP_2019_ibdmdb
PSM7J17D,9.055603434351502,HMP_2019_ibdmdb
HSM5MD7O,9.085873867445699,HMP_2019_ibdmdb
HSM7J4KM,9.064925178035596,HMP_2019_ibdmdb
HSM7J4L9,9.055713349730915,HMP_2019_ibdmdb
HSM5MD8L_P,9.086833819144958,HMP_2019_ibdmdb
MSMB4LZP,9.089787210503554,HMP_2019_ibdmdb
MSM6J2HD,9.059544969779054,HMP_2019_ibdmdb
HSM5MD6U_P,9.067531508205473,HMP_2019_ibdmdb
PSMA265L,9.078059156580803,HMP_2019_ibdmdb
CSM5MCWA_P,9.069059957485448,HMP_2019_ibdmdb
CSM9X1YV,9.06702295385516,HMP_2019_ibdmdb
MSM79H8B,9.068412552885864,HMP_2019_ibdmdb
HSM5MD5X_P,9.029798616005104,HMP_2019_ibdmdb
PSM7J184,9.079049884428235,HMP_2019_ibdmdb
CSM67UDR_TR,9.039964483404491,HMP_2019_ibdmdb
HSM6XRV2,9.075073347354424,HMP_2019_ibdmdb
MSM9VZOW,9.07426405398594,HMP_2019_ibdmdb
MSM6J2QD,9.046486624138298,HMP_2019_ibdmdb
MSM79HFB,9.060300134702642,HMP_2019_ibdmdb
HSM5MD7J,9.054501365887809,HMP_2019_ibdmdb
MSM6J2JF_P,9.03908515482396,HMP_2019_ibdmdb
PSM7J18M,9.06747236404433,HMP_2019_ibdmdb
PSMA266I,9.07645653068786,HMP_2019_ibdmdb
PSMA2675,9.079439906209158,HMP_2019_ibdmdb
MSMA26ER,9.057286206306799,HMP_2019_ibdmdb
HSM7J4K8,9.0449320829669,HMP_2019_ibdmdb
PSM7J13Y_P,9.075345396869983,HMP_2019_ibdmdb
MSMB4LZZ,9.093800579799112,HMP_2019_ibdmdb
CSM5FZ4G_P,9.099100814010455,HMP_2019_ibdmdb
CSM79HLA_TR,9.080666046619553,HMP_2019_ibdmdb
MSM9VZNH,9.039628478940424,HMP_2019_ibdmdb
CSM67UAG,9.07478896398188,HMP_2019_ibdmdb
MSM6J2LL,9.083039096093596,HMP_2019_ibdmdb
CSM7KOJE,9.07079488005053,HMP_2019_ibdmdb
PSM7J1AQ,9.092942987185582,HMP_2019_ibdmdb
PSM7J143_P,9.079205698748131,HMP_2019_ibdmdb
PSM7J1BB,9.042539750899007,HMP_2019_ibdmdb
MSMA26BD,9.084518489082125,HMP_2019_ibdmdb
PSMB4MC5,9.065733774754808,HMP_2019_ibdmdb
CSM7KOTO,9.064043108336204,HMP_2019_ibdmdb
CSM67UAK,9.109265027319056,HMP_2019_ibdmdb
HSM5MEE5_P,9.065169883213711,HMP_2019_ibdmdb
HSM6XRQI,9.059461227065965,HMP_2019_ibdmdb
HSM7J4PQ,9.070327781737072,HMP_2019_ibdmdb
CSM79HGP,9.026815880032379,HMP_2019_ibdmdb
PSM6XBSO,9.046089481300399,HMP_2019_ibdmdb
CSM7KON8,9.065801389042672,HMP_2019_ibdmdb
O2.UC12-1,9.076515058147544,LiJ_2014
HSM67VEU,9.072553239116731,HMP_2019_ibdmdb
MSM9VZIM,9.047622699965144,HMP_2019_ibdmdb
HSM7J4J7,9.068715168862486,HMP_2019_ibdmdb
MSM5LLIQ_P,9.052255693831821,HMP_2019_ibdmdb
MSM79H69,9.036088797615951,HMP_2019_ibdmdb
CSM67UEI,9.030394478704121,HMP_2019_ibdmdb
PSM7J1CG,9.036870873766004,HMP_2019_ibdmdb
HSM5MD73,9.047340104789464,HMP_2019_ibdmdb
HSM67VFZ,9.041847711480258,HMP_2019_ibdmdb
MSMAPC5L,9.035226415277176,HMP_2019_ibdmdb
MSM9VZGU,9.079702304907414,HMP_2019_ibdmdb
HSM67VHJ,9.064233996395224,HMP_2019_ibdmdb
CSM5MCVJ_P,9.039790614848624,HMP_2019_ibdmdb
HSM6XRUX,9.073892896981212,HMP_2019_ibdmdb
HSM7J4IU,9.064732638920944,HMP_2019_ibdmdb
HSM67VI3,9.05715447517696,HMP_2019_ibdmdb
HSM6XRVK,9.084230476779496,HMP_2019_ibdmdb
O2.UC26-1,9.033178152955077,LiJ_2014
CSM9X21N,9.080215319029739,HMP_2019_ibdmdb
MSMAPC7P,9.051651726133246,HMP_2019_ibdmdb
PSMA269O,9.037664606556186,HMP_2019_ibdmdb
HSM6XRSX,9.055845976954226,HMP_2019_ibdmdb
PSM7J13I,9.048144413039141,HMP_2019_ibdmdb
HSM7J4O1,9.060744964260786,HMP_2019_ibdmdb
ESM718T9,9.051164447663988,HMP_2019_ibdmdb
HSM67VFH,9.053447806895088,HMP_2019_ibdmdb
HSM7J4M4,9.044531182609305,HMP_2019_ibdmdb
MSM6J2HN,9.07742726045966,HMP_2019_ibdmdb
MSM79HEA,9.03467315367355,HMP_2019_ibdmdb
PSMA263S,9.075135191463396,HMP_2019_ibdmdb
S153_a_WGS,9.080658904697856,IjazUZ_2017
MSM79H5Y,9.078295544595028,HMP_2019_ibdmdb
CSM67UFZ,9.058748027529118,HMP_2019_ibdmdb
CSM79HPS,9.06269458609766,HMP_2019_ibdmdb
CSM67UB5_P,9.056016005583226,HMP_2019_ibdmdb
HSM6XRT2_P,9.049909390526583,HMP_2019_ibdmdb
HSM67VDR_P,9.069594666168243,HMP_2019_ibdmdb
HSM7J4PK,9.102574892025695,HMP_2019_ibdmdb
CSM5MCUC_P,9.073106764276424,HMP_2019_ibdmdb
HSM67VEM,9.060536658620192,HMP_2019_ibdmdb
HSM67VGK,9.040512094522288,HMP_2019_ibdmdb
HSM7J4M6,9.06032687602722,HMP_2019_ibdmdb
CSM79HIZ,9.042605422196596,HMP_2019_ibdmdb
MSMB4LXS,9.036968560276252,HMP_2019_ibdmdb
MSM79H54,9.06332845367339,HMP_2019_ibdmdb
CSM9X1ZQ,9.067478049559185,HMP_2019_ibdmdb
HSM5FZBP_P,9.054359568918294,HMP_2019_ibdmdb
CSMAIG7X,9.067159340931168,HMP_2019_ibdmdb
HSM7J4NO,9.050818729193985,HMP_2019_ibdmdb
MSM79H9A,9.071883373895304,HMP_2019_ibdmdb
HSM67VDX_P,9.048502488823821,HMP_2019_ibdmdb
CSM9X22K,9.019772658095638,HMP_2019_ibdmdb
HSM7J4JD,9.057550705762031,HMP_2019_ibdmdb
HSMA33OD,9.081927452213826,HMP_2019_ibdmdb
HSM67VIB,9.061986082707898,HMP_2019_ibdmdb
HSM67VHQ,9.074797949298441,HMP_2019_ibdmdb
HSM5MD8B_P,9.041659061084626,HMP_2019_ibdmdb
HSM5MD4P_P,9.061465307216165,HMP_2019_ibdmdb
CSM5MCZD,9.079794225104465,HMP_2019_ibdmdb
CSM7KOLA,9.074073439811524,HMP_2019_ibdmdb
HSMA33OV,9.052281026815262,HMP_2019_ibdmdb
PSM6XBU2,9.060686508885173,HMP_2019_ibdmdb
CSM5MCWQ,9.038364969377982,HMP_2019_ibdmdb
MSMA26EH,9.062101147408836,HMP_2019_ibdmdb
HSM5MD5H_P,9.05389682617938,HMP_2019_ibdmdb
HSM67VEG,9.07024603504376,HMP_2019_ibdmdb
ESM718UH,9.083543807521831,HMP_2019_ibdmdb
ESM718TK,9.056037107758268,HMP_2019_ibdmdb
PSM6XBVK,9.044908867883805,HMP_2019_ibdmdb
PSMA265B,9.046616413082921,HMP_2019_ibdmdb
CSM5FZ3T_P,9.071403119770787,HMP_2019_ibdmdb
MSM9VZES,9.091067416029976,HMP_2019_ibdmdb
HSMA33OR,9.060415862429565,HMP_2019_ibdmdb
MSMA26CV,9.072946298482611,HMP_2019_ibdmdb
CSM7KOK7,9.062916489304111,HMP_2019_ibdmdb
S84_a_WGS,9.08316260478477,IjazUZ_2017
CSM7KOMT,9.057469140044413,HMP_2019_ibdmdb
HSM5FZBZ,9.07481202269372,HMP_2019_ibdmdb
CSM7KOMB,9.048597518815418,HMP_2019_ibdmdb
MSM5LLD6_P,9.067956041329847,HMP_2019_ibdmdb
MSMB4LZK,9.083835799050444,HMP_2019_ibdmdb
O2.UC44-1,9.046070547558871,LiJ_2014
HSM5MD7U,9.041285243142614,HMP_2019_ibdmdb
O2.UC32-1,9.094653818777768,LiJ_2014
CSM79HKB,9.060210464240548,HMP_2019_ibdmdb
CSM79HIH,9.055796251590252,HMP_2019_ibdmdb
MSM9VZMM,9.068769152401819,HMP_2019_ibdmdb
CSM79HL6,9.012591640198783,HMP_2019_ibdmdb
PSM6XBT7,9.08013848539887,HMP_2019_ibdmdb
CSM67UH7,9.068292826107829,HMP_2019_ibdmdb
CSM79HNU,9.069866001404781,HMP_2019_ibdmdb
CSM79HOL,9.04199673211799,HMP_2019_ibdmdb
MSM79H8N,9.079516842188713,HMP_2019_ibdmdb
MSM6J2RM,9.053448719444496,HMP_2019_ibdmdb
CSM79HHA,9.03289733454093,HMP_2019_ibdmdb
CSM67UB1,9.072502601086171,HMP_2019_ibdmdb
PSM7J14R,9.054077423029156,HMP_2019_ibdmdb
CSM67U9P_P,9.068249310924358,HMP_2019_ibdmdb
CSM7KORI,9.032450076133427,HMP_2019_ibdmdb
MSM7J16R,9.056170853220259,HMP_2019_ibdmdb
HSM7J4OB,9.062612346517417,HMP_2019_ibdmdb
MSM9VZMA,9.04529771610543,HMP_2019_ibdmdb
MSM5LLHX_P,9.03613105685292,HMP_2019_ibdmdb
O2.UC17-1,9.087675689348606,LiJ_2014
PSM7J1BP,9.058196768252355,HMP_2019_ibdmdb
O2.UC48-1,9.097148587113688,LiJ_2014
CSM79HQZ,9.059024878882802,HMP_2019_ibdmdb
CSMAG78W,9.067425127864311,HMP_2019_ibdmdb
MSM9VZPL,9.071803441847832,HMP_2019_ibdmdb
MSM79HAT,9.06865224329199,HMP_2019_ibdmdb
CSM7KOTS,9.06789110513464,HMP_2019_ibdmdb
HSMA33IA,9.043811716702864,HMP_2019_ibdmdb
MSM9VZF7,9.041804280192347,HMP_2019_ibdmdb
MSM9VZOK,9.078067504826445,HMP_2019_ibdmdb
PSM7J17F,9.05955013680847,HMP_2019_ibdmdb
MSM9VZMU,9.085620465473296,HMP_2019_ibdmdb
HSM7CYXO,9.067957452607697,HMP_2019_ibdmdb
HSMA33MI,9.033947174646553,HMP_2019_ibdmdb
CSM5MCUK_P,9.057463901532348,HMP_2019_ibdmdb
MSMB4LYB,9.101374007765147,HMP_2019_ibdmdb
CSM5MCZ7,9.077504921798901,HMP_2019_ibdmdb
HSM6XRSX_P,9.081528235931936,HMP_2019_ibdmdb
CSM7KOKL_P,9.051303870516909,HMP_2019_ibdmdb
ESM5MEB7,9.076606325609493,HMP_2019_ibdmdb
MSM5LLHA_P,9.081146086087656,HMP_2019_ibdmdb
ESM7F5AE_P,9.055927266757278,HMP_2019_ibdmdb
MSM9VZHJ,9.064293261646606,HMP_2019_ibdmdb
HSM6XRTG,9.064036316765218,HMP_2019_ibdmdb
CSM5FZ44_P,9.079435163608947,HMP_2019_ibdmdb
MSM5LLIE_P,9.029070610313925,HMP_2019_ibdmdb
CSM7KOQZ_P,9.07171623218426,HMP_2019_ibdmdb
MSM6J2IO,9.09024186145286,HMP_2019_ibdmdb
MSM79HC8,9.032903654443587,HMP_2019_ibdmdb
CSM7KOP8,9.063274483538926,HMP_2019_ibdmdb
MSM9VZFF,9.069022964553097,HMP_2019_ibdmdb
PSM7J13Y,9.061001608943482,HMP_2019_ibdmdb
CSM79HH8,9.058386805832606,HMP_2019_ibdmdb
HSM6XRQU,9.057987873139867,HMP_2019_ibdmdb
HSM7J4IS,9.055385857431908,HMP_2019_ibdmdb
HSM67VGY,9.052930027959777,HMP_2019_ibdmdb
CSM79HGR_P,9.100710589214852,HMP_2019_ibdmdb
HSM7CZ1E,9.047145095492947,HMP_2019_ibdmdb
PSM6XBTB,9.072990455193993,HMP_2019_ibdmdb
MSM79H6F,9.067947319469189,HMP_2019_ibdmdb
ESM5MEAB_P,9.092244166785717,HMP_2019_ibdmdb
MSM6J2K8,9.05512446222591,HMP_2019_ibdmdb
CSM79HQX,9.033659627672685,HMP_2019_ibdmdb
CSM67UE7,9.084298601929843,HMP_2019_ibdmdb
CSM79HM9_P,9.05769432779043,HMP_2019_ibdmdb
O2.UC24-1,9.037569991822812,LiJ_2014
MSM6J2SI,9.067223291811553,HMP_2019_ibdmdb
HSM67VEW,9.074682797050613,HMP_2019_ibdmdb
MSM5LLHE_P,9.074887147600895,HMP_2019_ibdmdb
CSM67UC6,9.067045257745832,HMP_2019_ibdmdb
MSMA26AL,9.048376802527079,HMP_2019_ibdmdb
HSM7J4KO,9.09486912508875,HMP_2019_ibdmdb
ESM5MEDU,9.063471343072234,HMP_2019_ibdmdb
HSM7CYZF,9.035933357516507,HMP_2019_ibdmdb
CSM5FZ3R_P,9.069535099272615,HMP_2019_ibdmdb
HSMA33LH,9.036788605570502,HMP_2019_ibdmdb
PSM7J15Q,9.085749776597552,HMP_2019_ibdmdb
HSMA33RT,9.051395557028059,HMP_2019_ibdmdb
MSM9VZI6,9.08014171476762,HMP_2019_ibdmdb
