,nobc,harmony,limma,MMUPHin,ConQuR_rel,percentile_norm
batch_aitch_r2,0.0162006870619165,0.0040181001529388,0.0093133569853307,0.012005998235105,0.0207297329865418,0.0012460071840021
batch_bray_r2,0.01556063950619,0.0102567823372767,0.0810602533650279,0.004623627107935,0.00182306008514,0.0012174419704666
biovar_aitch_r2,0.0100360325475819,0.0096961172728421,0.013455174061946,0.0106679389975544,0.011993479178902,0.0006528956312239
biovar_bray_r2,0.0100360325475819,0.0096961172728421,0.013455174061946,0.0106679389975544,0.011993479178902,0.0006528956312239
shannon_pval,3.490918490860573e-10,1.1660934061839214e-13,2.4120244860483763e-08,1.1794162400728768e-10,4.2969534452922854e-13,0.8232616904375163
aitch_pval_batch,0.001,0.001,0.001,0.001,0.001,0.239
aitch_pval_biovar,0.001,0.001,0.001,0.001,0.001,0.144
bray_pval_batch,0.001,0.001,0.001,0.001,0.046,0.389
bray_pval_biovar,0.001,0.001,0.001,0.001,0.001,0.144
runtime,NA,,21.5625436306,3.54984402656555,1089.08189082146,69.18330192565918
