,shannon,study_name
HSM67VHF,3.209303373972763,HMP_2019_ibdmdb
CSM79HN6,3.6971372397205795,HMP_2019_ibdmdb
CSM7KORO,3.270906731763558,HMP_2019_ibdmdb
HSM6XRT6_P,4.644221981392553,HMP_2019_ibdmdb
HSM7CZ22,3.655618694381227,HMP_2019_ibdmdb
MSM6J2IQ,3.121237487737116,HMP_2019_ibdmdb
O2.UC4-1,3.571995963628084,LiJ_2014
PSM6XBUQ,3.380201390765498,HMP_2019_ibdmdb
HSMA33KS,4.143584541410222,HMP_2019_ibdmdb
CSM7KOLE,3.3023739808059256,HMP_2019_ibdmdb
MSM6J2Q5,3.691209699533494,HMP_2019_ibdmdb
CSM7KORS,3.176435418656912,HMP_2019_ibdmdb
CSM79HIN,3.1321035370496078,HMP_2019_ibdmdb
HSM5MD5H_P,2.4882206861886127,HMP_2019_ibdmdb
ESM5MEAB_P,3.017380301941444,HMP_2019_ibdmdb
MSMAPC5D,3.499880356894156,HMP_2019_ibdmdb
MSM79HDE,2.5158964403789907,HMP_2019_ibdmdb
V1.UC58-4,3.7732127947211587,LiJ_2014
HSMA33MC,3.5918399058967094,HMP_2019_ibdmdb
CSM9X23N,2.820589784077243,HMP_2019_ibdmdb
HSMA33QM,3.8911522297361523,HMP_2019_ibdmdb
MSM79HF9_TR,4.835568429591263,HMP_2019_ibdmdb
MSM9VZLP,4.657896539629135,HMP_2019_ibdmdb
MSM9VZMA,2.4441903449128595,HMP_2019_ibdmdb
HSMA33IS,4.097367366583417,HMP_2019_ibdmdb
PSM7J1A6,2.5062847712811225,HMP_2019_ibdmdb
ESM5ME9D_P,2.3345123023879517,HMP_2019_ibdmdb
HSM67VFH,2.8315974706192497,HMP_2019_ibdmdb
CSM79HOH,3.197025653884297,HMP_2019_ibdmdb
HSM6XRR5,4.082775657560466,HMP_2019_ibdmdb
HSM7J4QB,3.162734495711543,HMP_2019_ibdmdb
HSM7J4HC,3.566421123545482,HMP_2019_ibdmdb
PSM7J179,2.4594553924823512,HMP_2019_ibdmdb
HSMA33PZ,1.7705479629085028,HMP_2019_ibdmdb
MSMB4LYB,3.3801390046741933,HMP_2019_ibdmdb
PSM7J12D,2.6451032625898945,HMP_2019_ibdmdb
MSM5LLDQ,2.8408560427061373,HMP_2019_ibdmdb
PSM6XBVS,2.7661873568173885,HMP_2019_ibdmdb
MSM5LLIC_P,3.828740235358698,HMP_2019_ibdmdb
HSM6XRS4,2.786874878640312,HMP_2019_ibdmdb
O2.UC46-1,4.045856930141353,LiJ_2014
CSM79HKT,1.51738358813383,HMP_2019_ibdmdb
MSMAPC6C,2.106584037111026,HMP_2019_ibdmdb
MSM9VZLH,4.30013695098045,HMP_2019_ibdmdb
MSM79HFY,4.125490402084977,HMP_2019_ibdmdb
HSM7CZ3C,3.2499321516866955,HMP_2019_ibdmdb
MSM5LLHI_P,3.8874680175163028,HMP_2019_ibdmdb
PSM6XBR1,3.7573248472860405,HMP_2019_ibdmdb
MSM79H9K,3.7417144941792886,HMP_2019_ibdmdb
PSM7J19N,2.714875842009848,HMP_2019_ibdmdb
MSM9VZEM,2.760051395935816,HMP_2019_ibdmdb
MSM6J2II,4.277295069819798,HMP_2019_ibdmdb
MSM79H9Q,3.5300100002788906,HMP_2019_ibdmdb
CSM9X1YV,3.3586278847010975,HMP_2019_ibdmdb
HSM7CYY5,3.513427932881668,HMP_2019_ibdmdb
HSM7J4NE,3.5589410940342665,HMP_2019_ibdmdb
MSM5LLHO_P,3.8947468367357168,HMP_2019_ibdmdb
CSM67U9H_P,1.5080053385885495,HMP_2019_ibdmdb
HSMA33MZ,0.8232587781876293,HMP_2019_ibdmdb
CSM67U9T_P,2.9196545398566776,HMP_2019_ibdmdb
MSM79H6F,4.624178281262378,HMP_2019_ibdmdb
HSM7J4JJ,3.2488518262661708,HMP_2019_ibdmdb
MSMA26AN,3.658608594610781,HMP_2019_ibdmdb
HSM5MD5P,3.0515389946162585,HMP_2019_ibdmdb
PSM7J15O,2.4850282572114444,HMP_2019_ibdmdb
PSM6XBUK,3.7149492075597204,HMP_2019_ibdmdb
MSM79H94_P,2.577793989031435,HMP_2019_ibdmdb
HSM7J4GR,2.6808251964085477,HMP_2019_ibdmdb
PSMA266I,3.1822220814924957,HMP_2019_ibdmdb
PSM7J17F,1.3566959554329394,HMP_2019_ibdmdb
PSM7J13M,2.9183203153492134,HMP_2019_ibdmdb
MSM79HBL,3.849096170725413,HMP_2019_ibdmdb
CSM79HHU,3.5454253077212456,HMP_2019_ibdmdb
PSMB4MC7,3.4508819686961627,HMP_2019_ibdmdb
MSM7J16P,3.803279528322389,HMP_2019_ibdmdb
PSMA266Q,3.329946367901561,HMP_2019_ibdmdb
MSM9VZFJ_P,3.3966879729437944,HMP_2019_ibdmdb
MSM5LLIE_P,3.8897449473157475,HMP_2019_ibdmdb
CSM7KOK1,2.4210248420371703,HMP_2019_ibdmdb
V1.UC38-4,3.7849479743709837,LiJ_2014
HSM6XRQW,1.847866756322775,HMP_2019_ibdmdb
CSM5MCYO_P,4.31556330107326,HMP_2019_ibdmdb
CSM7KOJW,3.0935507837796696,HMP_2019_ibdmdb
MSM9VZMO,4.111102743753169,HMP_2019_ibdmdb
CSM79HID,2.854810641922389,HMP_2019_ibdmdb
CSM9X233,3.3591100226441384,HMP_2019_ibdmdb
PSMA264S,1.9943758168933794,HMP_2019_ibdmdb
O2.UC14-1,3.763189111397652,LiJ_2014
CSM79HQV,2.224717968372514,HMP_2019_ibdmdb
HSM7J4O3,3.9215832453553205,HMP_2019_ibdmdb
CSM79HNK,2.808645255600996,HMP_2019_ibdmdb
PSM6XBW3,3.5611735466693886,HMP_2019_ibdmdb
PSM7J199,2.845109329659485,HMP_2019_ibdmdb
MSM79HDQ_TR,3.724355386409473,HMP_2019_ibdmdb
PSM6XBT7,3.05885253801391,HMP_2019_ibdmdb
MSM6J2M3,4.668179677910548,HMP_2019_ibdmdb
CSM67UEM,3.244154706458512,HMP_2019_ibdmdb
CSM9X21N,3.0981948674351427,HMP_2019_ibdmdb
O2.UC9-1,3.621439425607218,LiJ_2014
ESM5GEYX_P,4.3404785007079125,HMP_2019_ibdmdb
CSM79HL4,3.4737378787762325,HMP_2019_ibdmdb
PSM6XBUI,3.316644738183905,HMP_2019_ibdmdb
MSM9VZOQ,2.5887920181325272,HMP_2019_ibdmdb
PSM7J19B,3.276944496535775,HMP_2019_ibdmdb
HSMA33OT,2.9248735449297194,HMP_2019_ibdmdb
CSM7CZ2F_P,3.673034952503658,HMP_2019_ibdmdb
MSM79HA1,3.5563273129103528,HMP_2019_ibdmdb
CSMA88CB,3.857481047146031,HMP_2019_ibdmdb
CSM7KOTU,3.6324768076158684,HMP_2019_ibdmdb
CSM7KOP2,2.2144777350517715,HMP_2019_ibdmdb
MSM6J2Q9,3.4828980025934184,HMP_2019_ibdmdb
HSM5MD8D_P,1.8210819546886703,HMP_2019_ibdmdb
MSMAPC7P,2.67239598345644,HMP_2019_ibdmdb
MSM79HEA,1.949361747228379,HMP_2019_ibdmdb
MSM6J2Q1,3.7331122089115216,HMP_2019_ibdmdb
MSM6J2PM,3.996697811974797,HMP_2019_ibdmdb
ESM718TF,2.3180453675559276,HMP_2019_ibdmdb
HSM7J4OB,3.675296601576303,HMP_2019_ibdmdb
CSM7KOSP,3.6004160156177925,HMP_2019_ibdmdb
MSM5LLFG_P,3.69367943211386,HMP_2019_ibdmdb
HSM7CZ3E,3.962682814328933,HMP_2019_ibdmdb
ESM5MED2,2.3459804813553156,HMP_2019_ibdmdb
MSM9VZIQ,2.5027344706006596,HMP_2019_ibdmdb
MSM5LLHC,1.8582048250234906,HMP_2019_ibdmdb
MSM79H9W,4.376965816024682,HMP_2019_ibdmdb
PSM6XBQU,3.81421854371668,HMP_2019_ibdmdb
HSM7J4I7,3.791101877415498,HMP_2019_ibdmdb
HSM67VI7,3.22010997353388,HMP_2019_ibdmdb
HSM7J4PE,3.6863849052165194,HMP_2019_ibdmdb
CSMAIG7X,2.2349173235668576,HMP_2019_ibdmdb
PSM6XBS4_P,3.438265433964615,HMP_2019_ibdmdb
HSM6XRV2,4.16072061089701,HMP_2019_ibdmdb
CSM7KOMR_P,3.901866844491037,HMP_2019_ibdmdb
HSM67VEC,1.5759729927290955,HMP_2019_ibdmdb
MSM6J2R2,1.6019269619082346,HMP_2019_ibdmdb
HSM7J4LD,2.1083049761434136,HMP_2019_ibdmdb
MSM79HDU,3.168212874388413,HMP_2019_ibdmdb
HSM67VGE_P,3.9294604862647695,HMP_2019_ibdmdb
HSM7CZ2J_P,3.6630357823057356,HMP_2019_ibdmdb
MSM5ZOJY_P,3.1758466843943163,HMP_2019_ibdmdb
HSM7J4HW,4.013143882599933,HMP_2019_ibdmdb
HSM6XRUR,0.9227226268412095,HMP_2019_ibdmdb
MSM79HCR,1.939826678834901,HMP_2019_ibdmdb
CSM7KONS_P,1.182003197717192,HMP_2019_ibdmdb
HSM7J4KO,2.6304232149852895,HMP_2019_ibdmdb
CSM7KOMZ,3.616702978400804,HMP_2019_ibdmdb
HSM7J4PG,3.8243082298022077,HMP_2019_ibdmdb
HSMA33ME,3.2755703552567574,HMP_2019_ibdmdb
HSM5MD7M,2.654227353643608,HMP_2019_ibdmdb
HSM5MD4P_P,2.857657487286724,HMP_2019_ibdmdb
PSM7J17B,0.7137846210766998,HMP_2019_ibdmdb
HSM67VI3,3.2483024791903197,HMP_2019_ibdmdb
HSM7CZ2H,3.8554807728532796,HMP_2019_ibdmdb
HSM5MD6K_P,2.6434488458446475,HMP_2019_ibdmdb
HSMA33OX,3.567822224277166,HMP_2019_ibdmdb
HSMA33JN,3.313362681710871,HMP_2019_ibdmdb
HSM7J4GP,3.641597851961734,HMP_2019_ibdmdb
HSM67VGC,3.662587946595611,HMP_2019_ibdmdb
CSM5MCXL,3.228018665879411,HMP_2019_ibdmdb
MSM9VZFT,3.8569422336605235,HMP_2019_ibdmdb
HSMA33P6,3.698588904501861,HMP_2019_ibdmdb
HSM7CYXI,2.459147517451549,HMP_2019_ibdmdb
PSMA265J,2.8153136757260655,HMP_2019_ibdmdb
HSMA33J3,2.494036557091091,HMP_2019_ibdmdb
PSM7J1CK_P,3.024486434641232,HMP_2019_ibdmdb
CSM67UB5_P,3.3864017656864247,HMP_2019_ibdmdb
CSMAF72L,2.670584075895215,HMP_2019_ibdmdb
CSM79HIF,2.546892309572165,HMP_2019_ibdmdb
HSM7CYXG,2.723662627511045,HMP_2019_ibdmdb
CSM7KOMB,3.8413100385858048,HMP_2019_ibdmdb
MSM6J2PU,4.1478114050244255,HMP_2019_ibdmdb
MSMA26AZ_TR,3.643841736918622,HMP_2019_ibdmdb
HSM67VEM,3.1621198385297853,HMP_2019_ibdmdb
MSM6J2RK,3.951628894390759,HMP_2019_ibdmdb
HSM6XRSZ_P,3.578534998557673,HMP_2019_ibdmdb
CSM9X21J,3.2490700535134605,HMP_2019_ibdmdb
MSM5LLE9_P,2.770315340222868,HMP_2019_ibdmdb
PSM6XBUO,3.3639851595439634,HMP_2019_ibdmdb
HSM5MD5D_P,4.009799169387196,HMP_2019_ibdmdb
MSM79H6L,4.0994627817681755,HMP_2019_ibdmdb
PSM7J16Y,4.154654299059324,HMP_2019_ibdmdb
HSMA33MV,3.242693527673797,HMP_2019_ibdmdb
MSMB4LYH,4.626510783305944,HMP_2019_ibdmdb
MSM6J2LN,3.8665194945946664,HMP_2019_ibdmdb
HSM67VFX_P,3.69219446037315,HMP_2019_ibdmdb
CSM5MCXV,3.464140734365609,HMP_2019_ibdmdb
HSM5MD8F_P,3.134536157749528,HMP_2019_ibdmdb
HSM5MD8L_P,1.7588319816174995,HMP_2019_ibdmdb
ESM718TM,2.21229245467367,HMP_2019_ibdmdb
CSM5MCU8_P,3.8851518508033576,HMP_2019_ibdmdb
PSM7J18I,3.3269904422651364,HMP_2019_ibdmdb
HSM7J4JV_P,1.9624577499853308,HMP_2019_ibdmdb
PSMA265H,2.800563313163559,HMP_2019_ibdmdb
ESM718V4,1.7827318342445932,HMP_2019_ibdmdb
HSM7J4HQ,2.171148053845871,HMP_2019_ibdmdb
HSM7CZ2X_P,2.501267046564444,HMP_2019_ibdmdb
MSM9VZIW,2.66440680073869,HMP_2019_ibdmdb
MSM5LLF6,3.3945312828322662,HMP_2019_ibdmdb
CSM67U9V_P,3.284588367645088,HMP_2019_ibdmdb
MSM9VZP3,2.2847937672221588,HMP_2019_ibdmdb
CSM79HNI,3.1973994647602333,HMP_2019_ibdmdb
ESM5MEBS,3.292405825114203,HMP_2019_ibdmdb
CSM7KOLY,2.773253292327775,HMP_2019_ibdmdb
CSM7KOP6,3.820076289642987,HMP_2019_ibdmdb
ESM718V8,2.451465105575685,HMP_2019_ibdmdb
HSM6XRTC_P,2.909345869775899,HMP_2019_ibdmdb
CSM5FZ4K_P,3.280305749245928,HMP_2019_ibdmdb
MSM9VZHX,2.304068646510794,HMP_2019_ibdmdb
HSM6XRV8,3.9142792618631677,HMP_2019_ibdmdb
CSM79HMT,3.6646968668689386,HMP_2019_ibdmdb
HSM7J4K8,3.4232529569164893,HMP_2019_ibdmdb
ESM5MEDD,3.405509517303694,HMP_2019_ibdmdb
PSM7J161,3.2263567957676718,HMP_2019_ibdmdb
CSM7KOKB,3.2488813482909547,HMP_2019_ibdmdb
