"","Bifidobacterium","Adlercreutzia","Atopobium","Collinsella","Bacteroides","Barnesiella","Butyricimonas","Odoribacter","Parabacteroides","Paraprevotella","Prevotella","Saccharibacteria_genera_incertae_sedis","Chloroplast","Gemella","Granulicatella","Enterococcus","Lactobacillus","Lactococcus","Streptococcus","Clostridium_sensu_stricto","Anaerococcus","Parvimonas","Peptoniphilus","Anaerovorax","Anaerofustis","Eubacterium","Anaerostipes","Blautia","Clostridium_XlVa","Clostridium_XlVb","Howardella","Lachnoanaerobaculum","Lachnospiracea_incertae_sedis","Roseburia","Ruminococcus2","Syntrophococcus","Peptococcus","Clostridium_XI","Anaerofilum","Anaerotruncus","Butyricicoccus","Clostridium_IV","Ethanoligenens","Faecalibacterium","Flavonifractor","Oscillibacter","Pseudoflavonifractor","Ruminococcus","Subdoligranulum","Catenibacterium","Clostridium_XVIII","Coprobacillus","Erysipelotrichaceae_incertae_sedis","Holdemania","Turicibacter","Acidaminococcus","Phascolarctobacterium","Succinispira","Dialister","Veillonella","Clostridium_XIX","Fusobacterium","Acidovorax","Parasutterella","Sutterella","Desulfovibrio","Campylobacter","Citrobacter","Escherichia","Haemophilus","Akkermansia"
"F-018C1A",11,0,0,0,3828,0,0,12,230,0,0,0,17,0,0,0,4,0,11,25,0,0,0,9,0,0,0,87,18,5,0,0,141,45,26,3,0,85,0,0,4,137,0,136,12,154,4,29,0,0,7,0,8,0,0,0,106,0,0,0,0,0,0,18,0,0,0,0,0,0,33
"F-017C1A",0,0,0,0,5950,0,0,122,293,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,28,58,0,0,0,138,35,13,0,0,36,14,0,0,39,0,814,7,13,7,0,0,0,51,0,6,14,3,0,0,0,18,0,0,0,0,54,0,0,0,0,0,0,334
"F-025C2U",128,0,0,6,1527,0,0,9,10,0,0,0,0,0,2,0,0,0,4,45,0,0,0,4,0,9,0,133,17,4,0,0,138,2,262,34,0,90,9,0,0,6,0,1721,11,274,0,628,0,0,10,6,6,0,0,3,13,0,0,0,2,0,0,0,18,0,0,0,0,0,70
"F-057-C2U",18,0,0,0,894,63,5,50,189,0,0,0,0,0,0,0,0,2,12,2,0,0,0,0,0,5,0,106,15,9,0,0,194,8,124,63,0,318,0,0,3,80,0,317,5,170,6,86,77,0,133,0,3,3,4,0,0,0,56,0,0,0,0,80,0,0,0,0,0,0,30
"F-057-C1A",35,0,0,0,2834,3,0,23,315,0,7,0,0,0,0,0,0,5,7,6,0,0,0,12,0,0,0,181,55,0,0,0,200,168,260,92,0,170,8,0,9,3,0,389,6,36,7,134,14,0,0,4,3,13,3,0,79,0,22,0,0,9,0,0,0,0,0,0,3,0,11
"F-047-C1A",28,0,0,26,401,0,28,0,61,0,0,0,0,0,0,0,14,10,4,155,0,0,0,6,0,0,0,130,85,0,0,0,118,5,98,46,0,718,9,0,3,40,0,183,28,131,5,365,24,0,27,0,6,3,10,0,0,0,17,0,0,0,0,0,33,0,0,0,13,0,20
"F-024C1A",68,0,0,0,406,0,0,2,46,0,2,0,0,0,2,0,0,0,52,7,0,0,0,3,2,0,0,321,58,5,0,0,99,302,90,97,0,93,13,7,38,4,0,2781,37,47,13,2,0,0,9,0,6,7,9,0,0,0,18,2,0,0,0,2,97,0,0,0,0,2,31
"N13",7,0,0,0,1044,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,6,0,0,4,0,0,0,0,5,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"F-004C1A",0,0,0,4,3945,0,3,0,89,0,0,4,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,359,76,27,0,0,433,32,192,46,0,11,40,7,4,47,0,153,43,9,12,0,0,0,22,29,3,7,0,0,26,0,0,0,0,0,0,0,23,0,0,0,0,0,982
"F-026C1A",529,4,0,0,1113,63,0,14,83,0,0,0,0,0,0,0,0,0,5,14,0,0,0,6,0,0,0,20,9,0,0,0,60,0,108,19,0,227,13,19,0,2,0,260,160,61,20,409,165,0,4,2,30,9,5,0,0,0,137,0,0,0,0,20,0,0,0,0,0,0,487
