"subjectid_text","batchid","cond"
"Subject_1","batch_0","cond_1"
"Subject_2","batch_0","cond_1"
"Subject_3","batch_0","cond_0"
"Subject_4","batch_1","cond_1"
"Subject_5","batch_1","cond_1"
"Subject_6","batch_1","cond_0"
"Subject_7","batch_1","cond_1"
"Subject_8","batch_1","cond_0"
"Subject_9","batch_0","cond_1"
"Subject_10","batch_1","cond_0"
"Subject_11","batch_1","cond_1"
"Subject_12","batch_1","cond_1"
"Subject_13","batch_1","cond_1"
"Subject_14","batch_1","cond_0"
"Subject_15","batch_0","cond_1"
"Subject_16","batch_0","cond_1"
"Subject_17","batch_1","cond_1"
"Subject_18","batch_1","cond_0"
"Subject_19","batch_1","cond_0"
"Subject_20","batch_1","cond_0"
"Subject_21","batch_0","cond_0"
"Subject_22","batch_0","cond_1"
"Subject_23","batch_1","cond_0"
"Subject_24","batch_1","cond_1"
"Subject_25","batch_0","cond_1"
"Subject_26","batch_1","cond_0"
"Subject_27","batch_0","cond_1"
"Subject_28","batch_0","cond_1"
"Subject_29","batch_0","cond_1"
"Subject_30","batch_0","cond_0"
"Subject_31","batch_1","cond_1"
"Subject_32","batch_1","cond_1"
"Subject_33","batch_1","cond_0"
"Subject_34","batch_1","cond_0"
"Subject_35","batch_0","cond_0"
"Subject_36","batch_1","cond_1"
"Subject_37","batch_1","cond_1"
"Subject_38","batch_0","cond_0"
"Subject_39","batch_1","cond_0"
"Subject_40","batch_1","cond_1"
"Subject_41","batch_0","cond_1"
"Subject_42","batch_1","cond_1"
"Subject_43","batch_0","cond_0"
"Subject_44","batch_0","cond_0"
"Subject_45","batch_0","cond_1"
"Subject_46","batch_0","cond_0"
"Subject_47","batch_1","cond_1"
"Subject_48","batch_0","cond_0"
"Subject_49","batch_1","cond_0"
"Subject_50","batch_0","cond_0"
"Subject_51","batch_0","cond_0"
"Subject_52","batch_0","cond_0"
"Subject_53","batch_1","cond_1"
"Subject_54","batch_0","cond_0"
"Subject_55","batch_1","cond_1"
"Subject_56","batch_1","cond_1"
"Subject_57","batch_1","cond_1"
"Subject_58","batch_1","cond_1"
"Subject_59","batch_0","cond_0"
"Subject_60","batch_1","cond_0"
"Subject_61","batch_1","cond_0"
"Subject_62","batch_1","cond_1"
"Subject_63","batch_0","cond_1"
"Subject_64","batch_1","cond_0"
"Subject_65","batch_0","cond_0"
"Subject_66","batch_1","cond_1"
"Subject_67","batch_1","cond_1"
"Subject_68","batch_1","cond_1"
"Subject_69","batch_1","cond_0"
"Subject_70","batch_1","cond_1"
"Subject_71","batch_1","cond_0"
"Subject_72","batch_0","cond_0"
"Subject_73","batch_0","cond_0"
"Subject_74","batch_0","cond_1"
"Subject_75","batch_1","cond_0"
"Subject_76","batch_0","cond_0"
"Subject_77","batch_0","cond_1"
"Subject_78","batch_0","cond_0"
"Subject_79","batch_1","cond_0"
"Subject_80","batch_0","cond_0"
"Subject_81","batch_0","cond_0"
"Subject_82","batch_1","cond_1"
"Subject_83","batch_0","cond_0"
"Subject_84","batch_0","cond_0"
"Subject_85","batch_1","cond_0"
"Subject_86","batch_0","cond_0"
"Subject_87","batch_0","cond_0"
"Subject_88","batch_0","cond_0"
"Subject_89","batch_1","cond_0"
"Subject_90","batch_0","cond_1"
"Subject_91","batch_1","cond_0"
"Subject_92","batch_1","cond_1"
"Subject_93","batch_1","cond_1"
"Subject_94","batch_1","cond_1"
"Subject_95","batch_1","cond_0"
"Subject_96","batch_0","cond_1"
"Subject_97","batch_1","cond_0"
"Subject_98","batch_0","cond_0"
"Subject_99","batch_0","cond_0"
"Subject_100","batch_0","cond_0"
"Subject_101","batch_0","cond_0"
"Subject_102","batch_1","cond_1"
"Subject_103","batch_0","cond_0"
"Subject_104","batch_0","cond_0"
"Subject_105","batch_0","cond_0"
"Subject_106","batch_0","cond_0"
"Subject_107","batch_1","cond_0"
"Subject_108","batch_1","cond_0"
"Subject_109","batch_1","cond_0"
"Subject_110","batch_1","cond_1"
"Subject_111","batch_1","cond_1"
"Subject_112","batch_0","cond_0"
"Subject_113","batch_1","cond_0"
"Subject_114","batch_0","cond_1"
"Subject_115","batch_1","cond_1"
"Subject_116","batch_0","cond_0"
"Subject_117","batch_0","cond_1"
"Subject_118","batch_1","cond_0"
"Subject_119","batch_1","cond_0"
"Subject_120","batch_1","cond_0"
"Subject_121","batch_0","cond_0"
"Subject_122","batch_0","cond_1"
"Subject_123","batch_0","cond_1"
"Subject_124","batch_1","cond_1"
"Subject_125","batch_0","cond_1"
"Subject_126","batch_0","cond_1"
"Subject_127","batch_0","cond_0"
"Subject_128","batch_1","cond_0"
"Subject_129","batch_0","cond_0"
"Subject_130","batch_1","cond_0"
"Subject_131","batch_0","cond_0"
"Subject_132","batch_1","cond_1"
"Subject_133","batch_1","cond_0"
"Subject_134","batch_0","cond_1"
"Subject_135","batch_1","cond_0"
"Subject_136","batch_1","cond_1"
"Subject_137","batch_0","cond_1"
"Subject_138","batch_0","cond_0"
"Subject_139","batch_0","cond_0"
"Subject_140","batch_0","cond_0"
"Subject_141","batch_1","cond_1"
"Subject_142","batch_0","cond_0"
"Subject_143","batch_0","cond_0"
"Subject_144","batch_0","cond_0"
"Subject_145","batch_1","cond_1"
"Subject_146","batch_1","cond_0"
"Subject_147","batch_0","cond_1"
"Subject_148","batch_1","cond_0"
"Subject_149","batch_1","cond_0"
"Subject_150","batch_1","cond_1"
"Subject_151","batch_0","cond_1"
"Subject_152","batch_0","cond_0"
"Subject_153","batch_1","cond_0"
"Subject_154","batch_0","cond_1"
"Subject_155","batch_0","cond_1"
"Subject_156","batch_0","cond_0"
"Subject_157","batch_1","cond_0"
"Subject_158","batch_0","cond_0"
"Subject_159","batch_1","cond_1"
"Subject_160","batch_1","cond_1"
"Subject_161","batch_1","cond_0"
"Subject_162","batch_0","cond_1"
"Subject_163","batch_1","cond_0"
"Subject_164","batch_1","cond_1"
"Subject_165","batch_0","cond_1"
"Subject_166","batch_0","cond_1"
"Subject_167","batch_1","cond_1"
"Subject_168","batch_0","cond_1"
"Subject_169","batch_1","cond_1"
"Subject_170","batch_1","cond_0"
"Subject_171","batch_0","cond_0"
"Subject_172","batch_0","cond_1"
"Subject_173","batch_0","cond_1"
"Subject_174","batch_1","cond_0"
"Subject_175","batch_1","cond_1"
"Subject_176","batch_0","cond_1"
"Subject_177","batch_0","cond_1"
"Subject_178","batch_0","cond_0"
"Subject_179","batch_1","cond_0"
"Subject_180","batch_0","cond_1"
"Subject_181","batch_1","cond_0"
"Subject_182","batch_1","cond_0"
"Subject_183","batch_0","cond_1"
"Subject_184","batch_0","cond_0"
"Subject_185","batch_1","cond_1"
"Subject_186","batch_1","cond_1"
"Subject_187","batch_1","cond_1"
"Subject_188","batch_1","cond_0"
"Subject_189","batch_1","cond_0"
"Subject_190","batch_1","cond_1"
"Subject_191","batch_1","cond_1"
"Subject_192","batch_1","cond_1"
"Subject_193","batch_0","cond_0"
"Subject_194","batch_1","cond_0"
"Subject_195","batch_0","cond_0"
"Subject_196","batch_0","cond_1"
"Subject_197","batch_0","cond_1"
"Subject_198","batch_1","cond_1"
"Subject_199","batch_1","cond_0"
"Subject_200","batch_1","cond_1"
"Subject_201","batch_0","cond_1"
"Subject_202","batch_1","cond_0"
"Subject_203","batch_0","cond_0"
"Subject_204","batch_1","cond_1"
"Subject_205","batch_0","cond_1"
"Subject_206","batch_0","cond_0"
"Subject_207","batch_0","cond_1"
"Subject_208","batch_1","cond_0"
"Subject_209","batch_1","cond_0"
"Subject_210","batch_0","cond_0"
"Subject_211","batch_1","cond_1"
"Subject_212","batch_1","cond_1"
"Subject_213","batch_1","cond_1"
"Subject_214","batch_1","cond_0"
"Subject_215","batch_0","cond_1"
"Subject_216","batch_1","cond_1"
"Subject_217","batch_0","cond_1"
"Subject_218","batch_0","cond_1"
"Subject_219","batch_1","cond_1"
"Subject_220","batch_0","cond_0"
"Subject_221","batch_0","cond_1"
"Subject_222","batch_0","cond_1"
"Subject_223","batch_0","cond_1"
"Subject_224","batch_0","cond_0"
"Subject_225","batch_0","cond_1"
"Subject_226","batch_1","cond_1"
"Subject_227","batch_1","cond_1"
"Subject_228","batch_1","cond_1"
"Subject_229","batch_1","cond_1"
"Subject_230","batch_1","cond_0"
"Subject_231","batch_0","cond_1"
"Subject_232","batch_0","cond_0"
"Subject_233","batch_1","cond_1"
"Subject_234","batch_0","cond_1"
"Subject_235","batch_0","cond_0"
